id	call
ENSMUSG00000002546	present
ENSMUSG00000002550	present
ENSMUSG00000002580	present
ENSMUSG00000002588	present
ENSMUSG00000002602	present
ENSMUSG00000002603	present
ENSMUSG00000002608	present
ENSMUSG00000002625	present
ENSMUSG00000002635	present
ENSMUSG00000002658	present
ENSMUSG00000002660	present
ENSMUSG00000002661	present
ENSMUSG00000002679	present
ENSMUSG00000002699	present
ENSMUSG00000002718	present
ENSMUSG00000002728	present
ENSMUSG00000002731	present
ENSMUSG00000002732	present
ENSMUSG00000002733	present
ENSMUSG00000002741	present
ENSMUSG00000002748	present
ENSMUSG00000002763	present
ENSMUSG00000002767	present
ENSMUSG00000002768	present
ENSMUSG00000002769	present
ENSMUSG00000002778	present
ENSMUSG00000002781	present
ENSMUSG00000002797	present
ENSMUSG00000002803	present
ENSMUSG00000002804	present
ENSMUSG00000002812	present
ENSMUSG00000002814	present
ENSMUSG00000002820	present
ENSMUSG00000002833	present
ENSMUSG00000002844	present
ENSMUSG00000002845	present
ENSMUSG00000002846	present
ENSMUSG00000002847	present
ENSMUSG00000002870	present
ENSMUSG00000002871	present
ENSMUSG00000002881	present
ENSMUSG00000002885	present
ENSMUSG00000002897	present
ENSMUSG00000002900	present
ENSMUSG00000002910	present
ENSMUSG00000002944	present
ENSMUSG00000002948	present
ENSMUSG00000002949	present
ENSMUSG00000002957	present
ENSMUSG00000002963	present
ENSMUSG00000002968	present
ENSMUSG00000002981	present
ENSMUSG00000002984	present
ENSMUSG00000002985	present
ENSMUSG00000002992	present
ENSMUSG00000002996	present
ENSMUSG00000003031	present
ENSMUSG00000003033	present
ENSMUSG00000003037	present
ENSMUSG00000003038	present
ENSMUSG00000003039	present
ENSMUSG00000003053	present
ENSMUSG00000003062	present
ENSMUSG00000003068	present
ENSMUSG00000003099	present
ENSMUSG00000003119	present
ENSMUSG00000003123	present
ENSMUSG00000003131	present
ENSMUSG00000003134	present
ENSMUSG00000003135	present
ENSMUSG00000003161	present
ENSMUSG00000003166	present
ENSMUSG00000003184	present
ENSMUSG00000003190	present
ENSMUSG00000003199	present
ENSMUSG00000003200	present
ENSMUSG00000003208	present
ENSMUSG00000003226	present
ENSMUSG00000003233	present
ENSMUSG00000003234	present
ENSMUSG00000003235	present
ENSMUSG00000003269	present
ENSMUSG00000003283	present
ENSMUSG00000003299	present
ENSMUSG00000003308	present
ENSMUSG00000003316	present
ENSMUSG00000003345	present
ENSMUSG00000003346	present
ENSMUSG00000003348	present
ENSMUSG00000003355	present
ENSMUSG00000003360	present
ENSMUSG00000003363	present
ENSMUSG00000003380	present
ENSMUSG00000003382	present
ENSMUSG00000003402	present
ENSMUSG00000003420	present
ENSMUSG00000003421	present
ENSMUSG00000003423	present
ENSMUSG00000003429	present
ENSMUSG00000003435	present
ENSMUSG00000003437	present
ENSMUSG00000003438	present
ENSMUSG00000003444	present
ENSMUSG00000003458	present
ENSMUSG00000003464	present
ENSMUSG00000003477	present
ENSMUSG00000003518	present
ENSMUSG00000003526	present
ENSMUSG00000003527	present
ENSMUSG00000003528	present
ENSMUSG00000003531	present
ENSMUSG00000003546	present
ENSMUSG00000003549	present
ENSMUSG00000003555	present
ENSMUSG00000003559	present
ENSMUSG00000003575	present
ENSMUSG00000003581	present
ENSMUSG00000003585	present
ENSMUSG00000003604	present
ENSMUSG00000003617	present
ENSMUSG00000003623	present
ENSMUSG00000003644	present
ENSMUSG00000003660	present
ENSMUSG00000003662	present
ENSMUSG00000003680	present
ENSMUSG00000003721	present
ENSMUSG00000003731	present
ENSMUSG00000003746	present
ENSMUSG00000003752	present
ENSMUSG00000003762	present
ENSMUSG00000003778	present
ENSMUSG00000003808	present
ENSMUSG00000003809	present
ENSMUSG00000003813	present
ENSMUSG00000003814	present
ENSMUSG00000003848	present
ENSMUSG00000003849	present
ENSMUSG00000003868	present
ENSMUSG00000003873	present
ENSMUSG00000003923	present
ENSMUSG00000003948	present
ENSMUSG00000003949	present
ENSMUSG00000003955	present
ENSMUSG00000003970	present
ENSMUSG00000004018	present
ENSMUSG00000004032	present
ENSMUSG00000004035	present
ENSMUSG00000004040	present
ENSMUSG00000004043	present
ENSMUSG00000004044	present
ENSMUSG00000004054	present
ENSMUSG00000004056	present
ENSMUSG00000004069	present
ENSMUSG00000004070	present
ENSMUSG00000004071	present
ENSMUSG00000004085	present
ENSMUSG00000004096	present
ENSMUSG00000004099	present
ENSMUSG00000004100	present
ENSMUSG00000004105	present
ENSMUSG00000004127	present
ENSMUSG00000004207	present
ENSMUSG00000004221	present
ENSMUSG00000004264	present
ENSMUSG00000004266	present
ENSMUSG00000004268	present
ENSMUSG00000004270	present
ENSMUSG00000004285	present
ENSMUSG00000004317	present
ENSMUSG00000004319	present
ENSMUSG00000004356	present
ENSMUSG00000004364	present
ENSMUSG00000004393	present
ENSMUSG00000004394	present
ENSMUSG00000004446	present
ENSMUSG00000004451	present
ENSMUSG00000004455	present
ENSMUSG00000004460	present
ENSMUSG00000004462	present
ENSMUSG00000004530	present
ENSMUSG00000004535	present
ENSMUSG00000004558	present
ENSMUSG00000004561	present
ENSMUSG00000004565	present
ENSMUSG00000004567	present
ENSMUSG00000004568	present
ENSMUSG00000004591	present
ENSMUSG00000004610	present
ENSMUSG00000004626	present
ENSMUSG00000004631	present
ENSMUSG00000004633	present
ENSMUSG00000004637	present
ENSMUSG00000004642	present
ENSMUSG00000004655	present
ENSMUSG00000004665	present
ENSMUSG00000004667	present
ENSMUSG00000004677	present
ENSMUSG00000004730	present
ENSMUSG00000004748	present
ENSMUSG00000004768	present
ENSMUSG00000004771	present
ENSMUSG00000004788	present
ENSMUSG00000004789	present
ENSMUSG00000004798	present
ENSMUSG00000004814	present
ENSMUSG00000004815	present
ENSMUSG00000004837	present
ENSMUSG00000004843	present
ENSMUSG00000004846	present
ENSMUSG00000004849	present
ENSMUSG00000004865	present
ENSMUSG00000004880	present
ENSMUSG00000004895	present
ENSMUSG00000004897	present
ENSMUSG00000004929	present
ENSMUSG00000004931	present
ENSMUSG00000004934	present
ENSMUSG00000004936	present
ENSMUSG00000004937	present
ENSMUSG00000004945	present
ENSMUSG00000004951	present
ENSMUSG00000004980	present
ENSMUSG00000004994	present
ENSMUSG00000004996	present
ENSMUSG00000005034	present
ENSMUSG00000005043	present
ENSMUSG00000005054	present
ENSMUSG00000005069	present
ENSMUSG00000005078	present
ENSMUSG00000005087	present
ENSMUSG00000005089	present
ENSMUSG00000005103	present
ENSMUSG00000005107	present
ENSMUSG00000005125	present
ENSMUSG00000005142	present
ENSMUSG00000005150	present
ENSMUSG00000005161	present
ENSMUSG00000005198	present
ENSMUSG00000005204	present
ENSMUSG00000005233	present
ENSMUSG00000005251	present
ENSMUSG00000005262	present
ENSMUSG00000005268	present
ENSMUSG00000005299	present
ENSMUSG00000005312	present
ENSMUSG00000005320	present
ENSMUSG00000005338	present
ENSMUSG00000005354	present
ENSMUSG00000005362	present
ENSMUSG00000005370	present
ENSMUSG00000005371	present
ENSMUSG00000005373	present
ENSMUSG00000005374	present
ENSMUSG00000005378	present
ENSMUSG00000005397	present
ENSMUSG00000005410	present
ENSMUSG00000005413	present
ENSMUSG00000005417	present
ENSMUSG00000005447	present
ENSMUSG00000005469	present
ENSMUSG00000005481	present
ENSMUSG00000005483	present
ENSMUSG00000005501	present
ENSMUSG00000005505	present
ENSMUSG00000005506	present
ENSMUSG00000005510	present
ENSMUSG00000005514	present
ENSMUSG00000005534	present
ENSMUSG00000005547	present
ENSMUSG00000005566	present
ENSMUSG00000005575	present
ENSMUSG00000005580	present
ENSMUSG00000005609	present
ENSMUSG00000005610	present
ENSMUSG00000005615	present
ENSMUSG00000005621	present
ENSMUSG00000005625	present
ENSMUSG00000005656	present
ENSMUSG00000005677	present
ENSMUSG00000005681	present
ENSMUSG00000005682	present
ENSMUSG00000005683	present
ENSMUSG00000005687	present
ENSMUSG00000005698	present
ENSMUSG00000005718	present
ENSMUSG00000005779	present
ENSMUSG00000005803	present
ENSMUSG00000005804	present
ENSMUSG00000005813	present
ENSMUSG00000005823	present
ENSMUSG00000005836	present
ENSMUSG00000005846	present
ENSMUSG00000005871	present
ENSMUSG00000005873	present
ENSMUSG00000005881	present
ENSMUSG00000005882	present
ENSMUSG00000005886	present
ENSMUSG00000005893	present
ENSMUSG00000005897	present
ENSMUSG00000005899	present
ENSMUSG00000005936	present
ENSMUSG00000005949	present
ENSMUSG00000005951	present
ENSMUSG00000005968	present
ENSMUSG00000005973	present
ENSMUSG00000005981	present
ENSMUSG00000005982	present
ENSMUSG00000006005	present
ENSMUSG00000006010	present
ENSMUSG00000006014	present
ENSMUSG00000006021	present
ENSMUSG00000006024	present
ENSMUSG00000006050	present
ENSMUSG00000006057	present
ENSMUSG00000006058	present
ENSMUSG00000006095	present
ENSMUSG00000006127	present
ENSMUSG00000006134	present
ENSMUSG00000006169	present
ENSMUSG00000006191	present
ENSMUSG00000006205	present
ENSMUSG00000006215	present
ENSMUSG00000006262	present
ENSMUSG00000006273	present
ENSMUSG00000006276	present
ENSMUSG00000006281	present
ENSMUSG00000006288	present
ENSMUSG00000006289	present
ENSMUSG00000006299	present
ENSMUSG00000006301	present
ENSMUSG00000006315	present
ENSMUSG00000006333	present
ENSMUSG00000006335	present
ENSMUSG00000006344	present
ENSMUSG00000006356	present
ENSMUSG00000006360	present
ENSMUSG00000006373	present
ENSMUSG00000006378	present
ENSMUSG00000006386	present
ENSMUSG00000006390	present
ENSMUSG00000006392	present
ENSMUSG00000006412	present
ENSMUSG00000006418	present
ENSMUSG00000006442	present
ENSMUSG00000006445	present
ENSMUSG00000006456	present
ENSMUSG00000006471	present
ENSMUSG00000006476	present
ENSMUSG00000006494	present
ENSMUSG00000006498	present
ENSMUSG00000006522	present
ENSMUSG00000006526	present
ENSMUSG00000006527	present
ENSMUSG00000006529	present
ENSMUSG00000006567	present
ENSMUSG00000006599	present
ENSMUSG00000006611	present
ENSMUSG00000006673	present
ENSMUSG00000006676	present
ENSMUSG00000006699	present
ENSMUSG00000006705	present
ENSMUSG00000006715	present
ENSMUSG00000006717	present
ENSMUSG00000006728	present
ENSMUSG00000006731	present
ENSMUSG00000006732	present
ENSMUSG00000006736	present
ENSMUSG00000006740	present
ENSMUSG00000006763	present
ENSMUSG00000006782	present
ENSMUSG00000006800	present
ENSMUSG00000006818	present
ENSMUSG00000006850	present
ENSMUSG00000006906	present
ENSMUSG00000006920	present
ENSMUSG00000006932	present
ENSMUSG00000006941	present
ENSMUSG00000006998	present
ENSMUSG00000007029	present
ENSMUSG00000007036	present
ENSMUSG00000007038	present
ENSMUSG00000007041	present
ENSMUSG00000007050	present
ENSMUSG00000007338	present
ENSMUSG00000007411	present
ENSMUSG00000007415	present
ENSMUSG00000007458	present
