id	minimum_qValue	call
ENSMUSG00000000766	0.118245428303814	absent
ENSMUSG00000000776	0.000778345786880564	absent
ENSMUSG00000000782	0.00195829557396065	absent
ENSMUSG00000000787	2.88917082926032e-09	present
ENSMUSG00000000791	0.00809492303234286	absent
ENSMUSG00000000792	0.0947029615624463	absent
ENSMUSG00000000794	0.0463185176986254	absent
ENSMUSG00000000804	0.000445815324179535	absent
ENSMUSG00000000805	0.000931112754355533	absent
ENSMUSG00000000811	0.00101862142364049	absent
ENSMUSG00000000817	0.0074107116907676	absent
ENSMUSG00000000823	0.000679775251492224	absent
ENSMUSG00000000826	0.000448510266022814	absent
ENSMUSG00000000827	2.88917082926032e-09	present
ENSMUSG00000000838	0.00046409173304213	absent
ENSMUSG00000000861	0.000594614094159116	absent
ENSMUSG00000000869	0.00169316435568463	absent
ENSMUSG00000000876	2.24767489707815e-09	present
ENSMUSG00000000881	0.000488842659932252	absent
ENSMUSG00000000884	0.000694274899452216	absent
ENSMUSG00000000889	0.022145290840832	absent
ENSMUSG00000000901	0.00126401786472943	absent
ENSMUSG00000000902	0.000488164540059944	absent
ENSMUSG00000000903	0.000548028728745066	absent
ENSMUSG00000000915	0.000507746473155708	absent
ENSMUSG00000000916	0.000780264077972639	absent
ENSMUSG00000000934	0.000467486140318073	absent
ENSMUSG00000000938	0.00747331850589992	absent
ENSMUSG00000000942	0.00564125129507019	absent
ENSMUSG00000000948	0.00605202869938113	absent
ENSMUSG00000000957	0.000455429464950128	absent
ENSMUSG00000000958	0.000779778862152801	absent
ENSMUSG00000000959	2.88917082926032e-09	present
ENSMUSG00000000976	0.000459448611804541	absent
ENSMUSG00000000982	0.00286039845567042	absent
ENSMUSG00000000983	0.00361766769887192	absent
ENSMUSG00000001014	0.000339318392641051	absent
ENSMUSG00000001016	0.000122591091325441	absent
ENSMUSG00000001017	1.84558688683997e-05	present
ENSMUSG00000001018	0.000359121020310249	absent
ENSMUSG00000001020	0.000509946251011327	absent
ENSMUSG00000001021	0.0576337584900875	absent
ENSMUSG00000001023	0.118944216695402	absent
ENSMUSG00000001025	7.57539526389096e-05	present
ENSMUSG00000001027	0.0365119980633064	absent
ENSMUSG00000001029	0.000608433953064229	absent
ENSMUSG00000001034	0.00068849578636359	absent
ENSMUSG00000001036	0.00121593684575198	absent
ENSMUSG00000001039	0.00149725497369218	absent
ENSMUSG00000001052	0.000476856060173181	absent
ENSMUSG00000001053	0.00131100510354407	absent
ENSMUSG00000001054	0.000448193879097808	absent
ENSMUSG00000001056	1.66884478072192e-08	present
ENSMUSG00000001062	0.000578886204086772	absent
ENSMUSG00000001065	0.000461119729226387	absent
ENSMUSG00000001076	0.00315687185607516	absent
ENSMUSG00000001082	0.000503320515846547	absent
ENSMUSG00000001089	0.000764940172174778	absent
ENSMUSG00000001095	0.00297812038122881	absent
ENSMUSG00000001098	0.000510674705231525	absent
ENSMUSG00000001100	2.24767489707815e-09	present
ENSMUSG00000001103	0.00255035301527991	absent
ENSMUSG00000001105	2.24767489707815e-09	present
ENSMUSG00000001119	0.000755328839565468	absent
ENSMUSG00000001120	0.000934285296608574	absent
ENSMUSG00000001123	1.25129366372533e-09	present
ENSMUSG00000001127	1.40265447963962e-05	present
ENSMUSG00000001128	7.7783883705765e-06	present
ENSMUSG00000001131	0.00148509090456132	absent
ENSMUSG00000001134	5.83328121302773e-09	present
ENSMUSG00000001138	0.000523376837523925	absent
ENSMUSG00000001143	0.000482584959092057	absent
ENSMUSG00000001150	2.84140461960807e-05	present
ENSMUSG00000001151	0.000578434791815288	absent
ENSMUSG00000001155	2.14489325159581e-09	present
ENSMUSG00000001156	0.000711022387923065	absent
ENSMUSG00000001157	0.000690117779788372	absent
ENSMUSG00000001158	2.88917082926032e-09	present
ENSMUSG00000001166	0.00367620927660827	absent
ENSMUSG00000001168	0.0531258186637688	absent
ENSMUSG00000001173	0.0015199624629952	absent
ENSMUSG00000001175	2.24767489707815e-09	present
ENSMUSG00000001211	2.24767489707815e-09	present
ENSMUSG00000001225	0.0102804712927262	absent
ENSMUSG00000001227	0.00378482961683215	absent
ENSMUSG00000001228	0.000980898820059508	absent
ENSMUSG00000001229	0.000449392586065498	absent
ENSMUSG00000001240	0.000197420905788858	absent
ENSMUSG00000001247	2.24767489707815e-09	present
ENSMUSG00000001248	0.000686915109713115	absent
ENSMUSG00000001249	2.14489325159581e-09	present
ENSMUSG00000001260	0.176427758392981	absent
ENSMUSG00000001270	0.000605693727852469	absent
ENSMUSG00000001280	0.000596713193143959	absent
ENSMUSG00000001281	0.000774143045866463	absent
ENSMUSG00000001285	2.22140568130737e-06	present
ENSMUSG00000001288	0.00158097622570466	absent
ENSMUSG00000001289	2.24767489707815e-09	present
ENSMUSG00000001300	0.00205287775909534	absent
ENSMUSG00000001305	0.00048620011101478	absent
ENSMUSG00000001313	0.00049182857489332	absent
ENSMUSG00000001323	2.24767489707815e-09	present
ENSMUSG00000001333	0.0130978490419144	absent
ENSMUSG00000001334	0.00394704653900497	absent
ENSMUSG00000001348	2.24767489707815e-09	present
ENSMUSG00000001349	0.00159831043422198	absent
ENSMUSG00000001366	2.24767489707815e-09	present
ENSMUSG00000001376	0.000650400773863625	absent
ENSMUSG00000001380	2.88917082926032e-09	present
ENSMUSG00000001383	2.24767489707815e-09	present
ENSMUSG00000001403	1.40781198423903e-07	present
ENSMUSG00000001415	0.000450194305035793	absent
ENSMUSG00000001416	2.24767489707815e-09	present
ENSMUSG00000001418	2.24767489707815e-09	present
ENSMUSG00000001419	0.000492214670249359	absent
ENSMUSG00000001420	0.00247760287227367	absent
ENSMUSG00000001424	2.24767489707815e-09	present
ENSMUSG00000001435	2.14489325159581e-09	present
ENSMUSG00000001436	0.000493708763892261	absent
ENSMUSG00000001440	2.88917082926032e-09	present
ENSMUSG00000001441	2.88917082926032e-09	present
ENSMUSG00000001444	0.0465932413660594	absent
ENSMUSG00000001445	2.24767489707815e-09	present
ENSMUSG00000001467	2.24767489707815e-09	present
ENSMUSG00000001472	2.24767489707815e-09	present
ENSMUSG00000001473	0.000638786801501998	absent
ENSMUSG00000001482	0.000218629460032651	absent
ENSMUSG00000001493	0.00394192823377037	absent
ENSMUSG00000001494	0.0901636759658603	absent
ENSMUSG00000001496	0.0520616865878199	absent
ENSMUSG00000001497	0.0203372749977091	absent
ENSMUSG00000001504	0.00897315673689911	absent
ENSMUSG00000001506	0.000927501672730836	absent
ENSMUSG00000001507	0.00156659623952435	absent
ENSMUSG00000001508	0.00474648803231026	absent
ENSMUSG00000001510	0.0257301444069423	absent
ENSMUSG00000001517	0.000598777979500452	absent
ENSMUSG00000001518	0.000530587095888169	absent
ENSMUSG00000001520	0.00108340288798369	absent
ENSMUSG00000001521	0.00149371231013283	absent
ENSMUSG00000001524	0.000475311196936471	absent
ENSMUSG00000001525	2.88917082926032e-09	present
ENSMUSG00000001542	2.24767489707815e-09	present
ENSMUSG00000001552	0.000480417320661164	absent
ENSMUSG00000001555	0.000673879721085304	absent
ENSMUSG00000001558	0.00982397607240612	absent
ENSMUSG00000001566	0.164665377815901	absent
ENSMUSG00000001569	0.000410134872315033	absent
ENSMUSG00000001576	2.24767489707815e-09	present
ENSMUSG00000001583	0.0045681112868855	absent
ENSMUSG00000001588	0.000686281095255964	absent
ENSMUSG00000001604	2.24767489707815e-09	present
ENSMUSG00000001622	0.0461453040133788	absent
ENSMUSG00000001627	1.66884478072192e-08	present
ENSMUSG00000001630	0.000912884137219722	absent
ENSMUSG00000001632	0.00069424180839964	absent
ENSMUSG00000001642	1.96846679270985e-05	present
ENSMUSG00000001655	0.327030859962217	absent
ENSMUSG00000001656	0.543648419543833	absent
ENSMUSG00000001657	0.00895521069825934	absent
ENSMUSG00000001661	0.00813703465630767	absent
ENSMUSG00000001663	1.25129366372533e-09	present
ENSMUSG00000001665	9.59152537742702e-09	present
ENSMUSG00000001666	1.25129366372533e-09	present
ENSMUSG00000001670	1.25129366372533e-09	present
ENSMUSG00000001672	0.00747630136666699	absent
ENSMUSG00000001674	0.000398696682790917	absent
ENSMUSG00000001687	2.24767489707815e-09	present
ENSMUSG00000001700	0.000202670266253436	absent
ENSMUSG00000001707	1.97542928266061e-05	present
ENSMUSG00000001729	4.26615887370318e-06	present
ENSMUSG00000001739	0.000701262432120544	absent
ENSMUSG00000001741	0.000674470665846518	absent
ENSMUSG00000001750	4.20681201210252e-05	present
ENSMUSG00000001751	0.000493118810473565	absent
ENSMUSG00000001755	2.24767489707815e-09	present
ENSMUSG00000001761	0.00112285944515061	absent
ENSMUSG00000001763	0.000725737320808905	absent
ENSMUSG00000001767	0.000749104966257651	absent
ENSMUSG00000001768	0.000451005180930995	absent
ENSMUSG00000001773	0.0120879335536267	absent
ENSMUSG00000001774	2.88917082926032e-09	present
ENSMUSG00000001783	4.35299367919765e-06	present
ENSMUSG00000001785	0.000467436464576004	absent
ENSMUSG00000001786	0.000305015720471092	absent
ENSMUSG00000001794	2.24767489707815e-09	present
ENSMUSG00000001802	0.00102596364240509	absent
ENSMUSG00000001804	0.488616912030306	absent
ENSMUSG00000001815	0.0455415586315626	absent
ENSMUSG00000001819	0.0535020571928956	absent
ENSMUSG00000001823	0.0010859865140325	absent
ENSMUSG00000001827	0.00509788845653206	absent
ENSMUSG00000001829	8.07197113632717e-05	present
ENSMUSG00000001833	2.88917082926032e-09	present
ENSMUSG00000001844	0.000294091508250948	absent
ENSMUSG00000001847	2.24767489707815e-09	present
ENSMUSG00000001855	0.000512610144111812	absent
ENSMUSG00000001864	0.000965504581712012	absent
ENSMUSG00000001865	0.0010716781459343	absent
ENSMUSG00000001870	0.000923532319933308	absent
ENSMUSG00000001891	1.25129366372533e-09	present
ENSMUSG00000001901	0.101866832205607	absent
ENSMUSG00000001909	0.000213154942435988	absent
ENSMUSG00000001910	0.000634916780666561	absent
ENSMUSG00000001911	5.51863094153161e-09	present
ENSMUSG00000001918	0.000963564481874736	absent
ENSMUSG00000001924	2.24767489707815e-09	present
ENSMUSG00000001930	0.000672109315688624	absent
ENSMUSG00000001942	0.000344414096474883	absent
ENSMUSG00000001943	0.00169024553880214	absent
ENSMUSG00000001946	0.000681756987073616	absent
ENSMUSG00000001948	0.00139683916327271	absent
ENSMUSG00000001962	0.000226194855420531	absent
ENSMUSG00000001964	6.50427530284398e-05	present
ENSMUSG00000001983	0.000291766347214316	absent
ENSMUSG00000001985	0.132938281404495	absent
ENSMUSG00000001986	0.00193125178088804	absent
ENSMUSG00000001988	0.0455706084919561	absent
ENSMUSG00000001995	0.00315232509098392	absent
ENSMUSG00000001998	0.000744141968351667	absent
ENSMUSG00000001999	1.66884478072192e-08	present
ENSMUSG00000002006	0.00871303503086132	absent
ENSMUSG00000002007	0.00162949219105295	absent
ENSMUSG00000002010	2.24767489707815e-09	present
ENSMUSG00000002012	0.00347483407233534	absent
ENSMUSG00000002014	2.24767489707815e-09	present
ENSMUSG00000002015	2.24767489707815e-09	present
ENSMUSG00000002017	0.000447373413762893	absent
ENSMUSG00000002020	0.00579160362071253	absent
ENSMUSG00000002028	0.00136842743081467	absent
ENSMUSG00000002031	2.24767489707815e-09	present
ENSMUSG00000002032	0.000476067277281988	absent
ENSMUSG00000002033	0.00364527274792368	absent
ENSMUSG00000002043	4.47201347554305e-07	present
ENSMUSG00000002052	0.000625572679160067	absent
ENSMUSG00000002055	0.000490747295776542	absent
ENSMUSG00000002057	0.0989335105310292	absent
ENSMUSG00000002058	0.00047497890815864	absent
ENSMUSG00000002059	0.000710757899667146	absent
ENSMUSG00000002064	2.24767489707815e-09	present
ENSMUSG00000002068	0.000785495485238087	absent
ENSMUSG00000002076	0.00315647045773984	absent
ENSMUSG00000002083	0.000839995974215574	absent
ENSMUSG00000002100	0.00356702831468538	absent
ENSMUSG00000002102	2.24767489707815e-09	present
ENSMUSG00000002103	0.000152822299996878	absent
ENSMUSG00000002104	0.00155359779443681	absent
ENSMUSG00000002105	0.00066175929763693	absent
ENSMUSG00000002107	0.000774088798620009	absent
ENSMUSG00000002108	2.24767489707815e-09	present
ENSMUSG00000002109	0.000671794077599124	absent
ENSMUSG00000002111	0.000483693325256917	absent
ENSMUSG00000002129	0.000636134738044976	absent
ENSMUSG00000002147	0.00023486950215049	absent
ENSMUSG00000002190	0.0171265440610393	absent
ENSMUSG00000002204	0.000777489330501721	absent
ENSMUSG00000002205	0.000138378470451714	absent
ENSMUSG00000002210	0.000767177623550361	absent
ENSMUSG00000002221	0.000482693331139613	absent
ENSMUSG00000002222	2.88917082926032e-09	present
ENSMUSG00000002227	0.00045470617302339	absent
ENSMUSG00000002228	0.00164483908343431	absent
ENSMUSG00000002233	1.41872843362983e-05	present
ENSMUSG00000002240	0.134066762377383	absent
ENSMUSG00000002249	0.00157114424760391	absent
ENSMUSG00000002250	0.000672871532298328	absent
ENSMUSG00000002257	0.000692911750189259	absent
ENSMUSG00000002265	0.000826063167507683	absent
ENSMUSG00000002266	0.00177616900293982	absent
ENSMUSG00000002274	0.000776574620226528	absent
ENSMUSG00000002279	3.06906461258141e-05	present
ENSMUSG00000002280	0.000108193167745521	present
ENSMUSG00000002289	2.24767489707815e-09	present
ENSMUSG00000002297	0.000468012770079822	absent
ENSMUSG00000002307	0.000468977896611713	absent
ENSMUSG00000002308	0.000548795018972773	absent
ENSMUSG00000002319	7.52035981310178e-05	present
ENSMUSG00000002320	2.88917082926032e-09	present
ENSMUSG00000002324	0.0020609486592183	absent
ENSMUSG00000002325	0.000187468103935848	absent
ENSMUSG00000002326	4.25278580901869e-06	present
ENSMUSG00000002329	3.26893532053767e-05	present
ENSMUSG00000002332	2.24767489707815e-09	present
ENSMUSG00000002341	0.0894962156001563	absent
ENSMUSG00000002342	0.000458361226852925	absent
ENSMUSG00000002343	0.000752868788520711	absent
ENSMUSG00000002345	1.62698015354493e-05	present
ENSMUSG00000002346	0.000106503423894079	present
ENSMUSG00000002365	0.000432736293927211	absent
ENSMUSG00000002372	0.000447353250834528	absent
ENSMUSG00000002379	2.24767489707815e-09	present
ENSMUSG00000002384	0.00813952247818616	absent
ENSMUSG00000002393	2.24767489707815e-09	present
ENSMUSG00000002395	2.24767489707815e-09	present
ENSMUSG00000002396	0.00065946379886147	absent
ENSMUSG00000002409	0.00111951292628041	absent
ENSMUSG00000002413	0.000668925003590397	absent
ENSMUSG00000002416	2.24767489707815e-09	present
ENSMUSG00000002428	0.000694716274282307	absent
ENSMUSG00000002455	2.88917082926032e-09	present
ENSMUSG00000002458	0.000639836316457215	absent
ENSMUSG00000002459	0.00416075865760004	absent
ENSMUSG00000002475	2.88917082926032e-09	present
ENSMUSG00000002477	2.88917082926032e-09	present
ENSMUSG00000002486	0.00149603101409404	absent
ENSMUSG00000002489	0.000709293850653832	absent
ENSMUSG00000002496	0.000259745367227272	absent
ENSMUSG00000002500	0.0172316724957143	absent
ENSMUSG00000002504	0.000739278834667487	absent
ENSMUSG00000002524	7.25266608532273e-07	present
ENSMUSG00000002546	0.000490325562148241	absent
ENSMUSG00000002550	9.59152537742702e-09	present
ENSMUSG00000002565	0.01134893979163	absent
ENSMUSG00000002578	0.00506976261415237	absent
ENSMUSG00000002580	2.24767489707815e-09	present
ENSMUSG00000002588	1.25129366372533e-09	present
ENSMUSG00000002602	0.000452034238493119	absent
ENSMUSG00000002603	0.000429035938433314	absent
ENSMUSG00000002608	0.000462812848820618	absent
ENSMUSG00000002617	0.00222362217401572	absent
ENSMUSG00000002625	2.88917082926032e-09	present
ENSMUSG00000002633	0.0343199520754117	absent
ENSMUSG00000002635	0.000105826914832298	present
ENSMUSG00000002658	0.000620611446004732	absent
ENSMUSG00000002660	2.24767489707815e-09	present
ENSMUSG00000002661	1.66884478072192e-08	present
ENSMUSG00000002664	0.00221883983113955	absent
ENSMUSG00000002668	0.000501541279538295	absent
ENSMUSG00000002679	1.66884478072192e-08	present
ENSMUSG00000002688	0.00438418159028877	absent
ENSMUSG00000002699	0.000741956208260704	absent
ENSMUSG00000002718	2.77382578534025e-05	present
ENSMUSG00000002728	1.66884478072192e-08	present
ENSMUSG00000002731	3.24820411769163e-05	present
ENSMUSG00000002732	0.00025039352883258	absent
ENSMUSG00000002733	0.000609672856372049	absent
ENSMUSG00000002741	8.97094333098701e-06	present
ENSMUSG00000002748	0.000298096159970194	absent
ENSMUSG00000002763	6.91923216131515e-05	present
ENSMUSG00000002767	2.24767489707815e-09	present
ENSMUSG00000002768	2.24767489707815e-09	present
ENSMUSG00000002769	1.25129366372533e-09	present
ENSMUSG00000002771	0.0212475581703066	absent
ENSMUSG00000002778	2.24767489707815e-09	present
ENSMUSG00000002781	2.46856420578234e-05	present
ENSMUSG00000002791	0.00892700046080776	absent
ENSMUSG00000002797	0.000205112462953159	absent
ENSMUSG00000002799	0.0219634217981755	absent
ENSMUSG00000002803	0.00072191793387852	absent
ENSMUSG00000002804	1.66884478072192e-08	present
ENSMUSG00000002808	0.000747145150507344	absent
ENSMUSG00000002812	0.00031657754065875	absent
ENSMUSG00000002814	0.000673524849966303	absent
ENSMUSG00000002820	2.6220229301774e-06	present
ENSMUSG00000002825	0.000497017498628841	absent
