id	minimum_pValue	call
ENSMUSG00000000753	1.41229978531015e-19	present
ENSMUSG00000000759	5.6919560158787e-08	present
ENSMUSG00000000766	0.648979009135496	absent
ENSMUSG00000000776	1.12608542694907e-07	present
ENSMUSG00000000782	7.66772188464688e-05	present
ENSMUSG00000000787	2.63292487334539e-13	present
ENSMUSG00000000791	0.00424749290647886	absent
ENSMUSG00000000792	0.57033540221125	absent
ENSMUSG00000000794	0.70687841802	absent
ENSMUSG00000000804	6.41172784045598e-09	present
ENSMUSG00000000805	3.98198882207046e-05	present
ENSMUSG00000000811	1.84142190407094e-05	present
ENSMUSG00000000817	0.0565035490505947	absent
ENSMUSG00000000823	1.49731212474727e-07	present
ENSMUSG00000000826	4.68040398137705e-10	present
ENSMUSG00000000827	4.85479419607944e-11	present
ENSMUSG00000000838	1.48676209496489e-08	present
ENSMUSG00000000861	8.55130792894919e-09	present
ENSMUSG00000000869	1.9321855706819e-05	present
ENSMUSG00000000876	4.28394195492976e-12	present
ENSMUSG00000000881	3.13443688529613e-07	present
ENSMUSG00000000884	1.2564167369447e-06	present
ENSMUSG00000000889	0.0219863318345809	absent
ENSMUSG00000000901	6.35362556461143e-05	present
ENSMUSG00000000902	2.01522560440926e-10	present
ENSMUSG00000000903	1.07329933356062e-07	present
ENSMUSG00000000915	3.38008680720102e-08	present
ENSMUSG00000000916	7.03621607215623e-08	present
ENSMUSG00000000934	9.43010118908598e-08	present
ENSMUSG00000000938	0.00532562604252133	absent
ENSMUSG00000000942	0.00974078293655146	absent
ENSMUSG00000000948	0.0015586719838019	absent
ENSMUSG00000000957	1.98819975757139e-08	present
ENSMUSG00000000958	6.91962451216068e-07	present
ENSMUSG00000000959	1.20283766693107e-10	present
ENSMUSG00000000976	7.11921617458877e-08	present
ENSMUSG00000000982	0.00371738640816217	absent
ENSMUSG00000000983	0.00355642961671554	absent
ENSMUSG00000001014	2.40178838990178e-13	present
ENSMUSG00000001016	2.58360310003124e-10	present
ENSMUSG00000001017	2.86902606798432e-10	present
ENSMUSG00000001018	3.65224137608246e-08	present
ENSMUSG00000001020	1.11582753768417e-06	present
ENSMUSG00000001021	0.151165952498389	absent
ENSMUSG00000001023	0.0682899830654669	absent
ENSMUSG00000001025	4.10176085753354e-08	present
ENSMUSG00000001027	0.360920478147649	absent
ENSMUSG00000001029	1.24086313798471e-07	present
ENSMUSG00000001034	4.29497292118778e-06	present
ENSMUSG00000001036	9.28727294636275e-06	present
ENSMUSG00000001039	0.000100788195904931	absent
ENSMUSG00000001052	9.92935788745709e-09	present
ENSMUSG00000001053	0.000132493025401607	absent
ENSMUSG00000001054	2.97140628716134e-08	present
ENSMUSG00000001056	2.83871290030752e-12	present
ENSMUSG00000001062	1.66398441451224e-07	present
ENSMUSG00000001065	5.28303356649704e-08	present
ENSMUSG00000001076	0.000885377634930137	absent
ENSMUSG00000001082	3.37079806983301e-09	present
ENSMUSG00000001089	3.40642581263731e-07	present
ENSMUSG00000001095	0.000296270286262731	absent
ENSMUSG00000001098	4.79374351982017e-08	present
ENSMUSG00000001100	1.27697450533501e-11	present
ENSMUSG00000001103	0.00264977099827922	absent
ENSMUSG00000001105	8.09486416509e-14	present
ENSMUSG00000001119	1.15370185234757e-06	present
ENSMUSG00000001120	1.71270331075753e-05	present
ENSMUSG00000001123	5.09230671839475e-18	present
ENSMUSG00000001127	2.133383733682e-12	present
ENSMUSG00000001128	8.07192137573392e-10	present
ENSMUSG00000001131	0.000122192087352631	absent
ENSMUSG00000001134	3.09093843804486e-12	present
ENSMUSG00000001138	5.54329048853654e-07	present
ENSMUSG00000001143	1.06098872088923e-07	present
