id	minimum_pValue	call
ENSG00000006634	3.14479344368409e-11	present
ENSG00000006638	1.50533826079209e-08	present
ENSG00000006652	7.79087090789264e-22	present
ENSG00000006659	0.0065572483512907	present
ENSG00000006695	3.773396394546e-10	present
ENSG00000006704	6.01497169512143e-12	present
ENSG00000006712	1.97732601348313e-16	present
ENSG00000006715	1.69918923368614e-19	present
ENSG00000006740	9.44511677955576e-15	present
ENSG00000006744	1.1585118211297e-17	present
ENSG00000006747	5.69912022301877e-12	present
ENSG00000006756	1.69525206899208e-15	present
ENSG00000006757	1.73768610132013e-13	present
ENSG00000006788	0.124020861335992	absent
ENSG00000006831	6.84043101412619e-18	present
ENSG00000006837	7.92063954690178e-09	present
ENSG00000007001	0.00777719004313724	present
ENSG00000007038	3.71294404381577e-10	present
ENSG00000007047	1.16146908625011e-14	present
ENSG00000007062	1.67672836625585e-19	present
ENSG00000007080	5.26714399524734e-18	present
ENSG00000007129	1.41566241712233e-11	present
ENSG00000007168	6.39217249657217e-24	present
ENSG00000007171	3.49504825673324e-08	present
ENSG00000007174	3.90458632860977e-12	present
ENSG00000007202	5.62168237024675e-19	present
ENSG00000007216	0.000811789811724727	present
ENSG00000007237	2.48419042177796e-14	present
ENSG00000007255	1.77709337625008e-15	present
ENSG00000007264	7.82743098922675e-13	present
ENSG00000007306	0.0424220041127341	absent
ENSG00000007312	2.82415245417017e-13	present
ENSG00000007314	0.0147639574586487	absent
ENSG00000007341	1.71996041539802e-13	present
ENSG00000007350	2.1943041203366e-10	present
ENSG00000007372	0.000135976217289464	present
ENSG00000007376	8.62116026096689e-12	present
ENSG00000007384	8.20323731003202e-17	present
ENSG00000007392	6.5392227255484e-18	present
ENSG00000007402	1.217645867594e-20	present
ENSG00000007516	1.48670306659908e-11	present
ENSG00000007520	1.12866397973684e-16	present
ENSG00000007541	5.92470971341824e-18	present
ENSG00000007545	2.64522330413591e-13	present
ENSG00000007866	2.6196838409808e-13	present
ENSG00000007908	9.33907888848178e-10	present
ENSG00000007923	1.43730819989489e-14	present
ENSG00000007933	1.30449685834826e-12	present
ENSG00000007944	5.75938559373063e-17	present
ENSG00000007952	2.14612299567693e-06	present
ENSG00000007968	4.41098486760638e-05	present
ENSG00000008018	6.51166187893789e-24	present
ENSG00000008056	2.87791899630958e-08	present
ENSG00000008083	6.65652521731439e-10	present
ENSG00000008086	3.1386328694142e-14	present
ENSG00000008118	1.35470717482547e-05	present
ENSG00000008128	5.69609358341158e-17	present
ENSG00000008130	9.33386755566405e-19	present
ENSG00000008196	0.192900220755847	absent
ENSG00000008197	0.460241691169006	absent
ENSG00000008226	1.79142625180265e-13	present
ENSG00000008256	9.76965557547502e-16	present
ENSG00000008277	1.41297828944569e-08	present
ENSG00000008282	1.09745222049108e-21	present
ENSG00000008283	2.19994798700582e-18	present
ENSG00000008294	9.691491989424e-23	present
ENSG00000008300	0.000171468786912891	present
ENSG00000008311	7.99834184073543e-12	present
ENSG00000008323	2.26614264591291e-07	present
