id	minimum_pValue	call
FBgn0000520	0.00127386510189185	present
FBgn0000524	0.00119444379888761	present
FBgn0000527	0.0100061486640282	absent
FBgn0000529	0.44653792090913	absent
FBgn0000533	0.0222838004778543	absent
FBgn0000535	0.815293397207552	absent
FBgn0000536	2.4446997581352e-06	present
FBgn0000541	3.58114671099603e-06	present
FBgn0000542	0.00850702166696106	present
FBgn0000543	3.18516774825349e-06	present
FBgn0000546	0.0132252008605562	absent
FBgn0000547	0.00536392557724723	present
FBgn0000551	0.064296102299196	absent
FBgn0000552	0.466257250455695	absent
FBgn0000557	0.00071733411673506	present
FBgn0000559	1.67164207827314e-12	present
FBgn0000560	0.000504979014410178	present
FBgn0000562	0.000474315108492421	present
FBgn0000564	0.413647218302649	absent
FBgn0000565	1.38866961509957e-06	present
FBgn0000566	2.36070439821227e-05	present
FBgn0000567	0.0103294025939252	absent
FBgn0000568	0.00277510379022394	present
FBgn0000575	0.000494351768221008	present
FBgn0000576	0.270921568533024	absent
FBgn0000577	0.0151843271488306	absent
FBgn0000578	0.000115352840827102	present
FBgn0000579	1.18987310738872e-11	present
FBgn0000581	5.76276113557439e-06	present
FBgn0000588	0.0027366122885777	present
FBgn0000591	0.294583874090721	absent
FBgn0000592	2.69967494935409e-10	present
FBgn0000594	0.0996747472981518	absent
FBgn0000606	0.0227536218226011	absent
FBgn0000611	5.02819347216708e-05	present
FBgn0000615	1.49439258856885e-15	present
FBgn0000617	6.24524734711182e-06	present
FBgn0000618	2.51271369461694e-07	present
FBgn0000625	0.25796503906624	absent
FBgn0000629	0.000182809992451526	present
FBgn0000633	0.497881933116687	absent
FBgn0000635	0.00013873585248515	present
FBgn0000636	6.0107576007474e-06	present
FBgn0000639	1.93441732880902e-05	present
FBgn0000640	1.46683635361557e-06	present
FBgn0000644	0.0885726974578138	absent
FBgn0000658	0.732434303561744	absent
FBgn0000659	0.0254682984264185	absent
FBgn0000662	4.44219804170503e-05	present
FBgn0000667	1.90833890536067e-05	present
FBgn0000709	0.0017511334312074	present
FBgn0000711	0.00091581265654602	present
FBgn0000715	0.21240296030604	absent
FBgn0000719	0.0208719119237366	absent
FBgn0000721	1.92899882014945e-05	present
FBgn0000723	0.00096830726104005	present
FBgn0000808	0.158594075299409	absent
FBgn0000810	1.63558324734953e-05	present
FBgn0000826	0.00431537774565252	present
FBgn0000927	0.245055287305277	absent
FBgn0000928	0.00149558022124111	present
FBgn0000964	0.00247112459878844	present
FBgn0000996	8.4176266655394e-05	present
FBgn0001075	0.270373491636722	absent
FBgn0001077	0.00208218527403569	present
FBgn0001078	0.0069184822971688	present
FBgn0001079	0.0113533121777959	absent
FBgn0001083	0.619254087485528	absent
FBgn0001084	0.00550448096057814	present
FBgn0001085	0.0367792931009112	absent
FBgn0001086	6.27397197089676e-07	present
FBgn0001087	2.3905661571463e-05	present
FBgn0001089	2.14249088690867e-06	present
FBgn0001090	1.26754829224639e-09	present
FBgn0001091	1.23044882459151e-07	present
FBgn0001092	1.42074498549012e-08	present
FBgn0001098	7.8097503641892e-09	present
FBgn0001099	5.14672386214577e-13	present
FBgn0001104	0.000266860837435084	present
FBgn0001105	5.26575377460796e-08	present
FBgn0001108	4.46940809131682e-06	present
FBgn0001112	1.82570801977581e-05	present
FBgn0001114	2.9458571149819e-07	present
FBgn0001120	0.0410193761373234	absent
FBgn0001122	1.57576597136656e-05	present
FBgn0001123	1.86202590767655e-06	present
FBgn0001124	4.25042059551559e-13	present
FBgn0001125	4.30123136393695e-11	present
FBgn0001128	2.49353177911426e-07	present
FBgn0001133	1.28074443058614e-07	present
FBgn0001134	0.406257136334256	absent
FBgn0001137	0.00388629313919185	present
FBgn0001138	0.620473467058251	absent
FBgn0001139	3.23639276563624e-06	present
FBgn0001142	2.50259328295111e-05	present
FBgn0001145	6.50442375125976e-07	present
FBgn0001147	0.161044821251547	absent
FBgn0001148	0.276523856223208	absent
FBgn0001149	5.09691633940658e-12	present
FBgn0001150	NA	absent
FBgn0001168	2.66681439787867e-05	present
FBgn0001169	9.94167174210054e-06	present
FBgn0001170	0.429262926360156	absent
FBgn0001174	0.181842957251205	absent
FBgn0001179	1.16210037043325e-05	present
FBgn0001180	0.0626151885648765	absent
