gene_id	est_counts	tpm	fpkm	type	biotype	classification
FBgn0024781	429	1.88309332923327	1.5177431484819	genic	protein_coding	coding_1
FBgn0025027	789	1.93243553089926	1.55751217498049	genic	protein_coding	coding_1
FBgn0025029	71846.44883	54.1791859197383	43.6675585556301	genic	protein_coding	coding_2
FBgn0025030	15504.1599	6.91066511059593	5.56988570892052	genic	protein_coding	coding_1
FBgn0025031	13480.04498075	13.0398493727226	10.509910335004	genic	protein_coding	coding_2
FBgn0025032	33262.009138	78.1801967448101	63.011989960538	genic	protein_coding	coding_2
FBgn0025033	21728.0015218367	13.9076474014825	11.2093416865838	genic	protein_coding	coding_2
FBgn0025034	153675.91741	476.005502671102	383.652832869897	genic	protein_coding	coding_3
FBgn0025035	42305.0003903099	41.0134059269772	33.0561501521128	genic	protein_coding	coding_2
FBgn0025036	42637	27.4839079645545	22.1515908739872	genic	protein_coding	coding_2
FBgn0025037	90.000045804667	0.451155121978653	0.363623822917168	genic	protein_coding	coding_1
FBgn0025038	134	1.31615934311208	1.06080341016988	genic	protein_coding	coding_1
FBgn0025039	9128	152.741521234722	123.10722668063	genic	protein_coding	coding_3
FBgn0025042	27835	66.9727833688358	53.9789937730813	genic	protein_coding	coding_2
FBgn0025043	6775.1823	7.56710112531001	6.09896265284167	genic	protein_coding	coding_1
FBgn0025409	2346	4.73819961489754	3.81891321583005	genic	protein_coding	coding_1
FBgn0025411	94591	2056.49076976691	1657.49871622182	genic	protein_coding	coding_3
FBgn0025651	44744.1	84.106453418621	67.7884581913953	genic	protein_coding	coding_2
FBgn0027417	8975.138	13.8247506889137	11.1425282601965	genic	protein_coding	coding_2
FBgn0027418	3604	21.7609793285136	17.539001794221	genic	protein_coding	coding_2
FBgn0027801	12145	23.8823685848565	19.2488076541295	genic	protein_coding	coding_2
FBgn0027802	43957	62.1217705170578	50.0691548900655	genic	protein_coding	coding_2
FBgn0027803	408282.97028	972.968819297714	784.197329070727	genic	protein_coding	coding_3
FBgn0027804	3205	6.69614786579879	5.39698823566854	genic	protein_coding	coding_1
FBgn0027806	792.00032	1.62595783063886	1.31049604332539	genic	protein_coding	coding_1
FBgn0028445	3157	36.6320243020215	29.5248265374363	genic	protein_coding	coding_2
FBgn0028446	23206	63.8889647282723	51.4934852004488	genic	protein_coding	coding_2
FBgn0028769	64818	51.9154963987971	41.8430609551326	genic	protein_coding	coding_2
FBgn0028770	2611.98811	3.40961185908846	2.74809270352055	genic	protein_coding	coding_1
FBgn0029243	477158	1642.65849678315	1323.95651351138	genic	protein_coding	coding_3
FBgn0029245	25888	28.5731697615243	23.0295184857467	genic	protein_coding	coding_2
FBgn0029246	39047	91.9753491364682	74.1306624658612	genic	protein_coding	coding_3
FBgn0029247	15440	42.6325646475691	34.3611662213289	genic	protein_coding	coding_2
FBgn0029248	48378	118.431460820026	95.4538659522972	genic	protein_coding	coding_3
FBgn0040413	4246	31.3494193408753	25.2671313072267	genic	protein_coding	coding_2
FBgn0040418	334709.016	2768.81887141563	2231.62378955988	genic	protein_coding	coding_3
FBgn0041268	31923.83433	292.659245672252	235.878677951559	genic	protein_coding	coding_3
FBgn0041270	20331.0744	19.818894237856	15.9737122281884	genic	protein_coding	coding_2
FBgn0041655	3087	3.72315066706157	3.00079997521915	genic	protein_coding	coding_1
FBgn0041656	36269.807	136.511380541464	110.025992493412	genic	protein_coding	coding_3
FBgn0041657	13697.0003877502	11.5936715858091	9.34431413565446	genic	protein_coding	coding_2
FBgn0041658	41228	71.3970076669265	57.5448478980643	genic	protein_coding	coding_2
FBgn0041659	23714.0093672718	31.2236832943902	25.1657900618898	genic	protein_coding	coding_2
FBgn0041661	9153.99409	13.5004976633802	10.881185500261	genic	protein_coding	coding_2
FBgn0041662	6543.116	7.04023019376543	5.67431309667142	genic	protein_coding	coding_1
FBgn0041663	29942.9970814999	25.2236050143702	20.329822795433	genic	protein_coding	coding_2
FBgn0041664	101011	43.517102048627	35.0740892396362	genic	protein_coding	coding_2
FBgn0041665	77522.9	46.762388551259	37.689738330293	genic	protein_coding	coding_2
FBgn0041666	35096	67.1206195173481	54.0981473476914	genic	protein_coding	coding_2
FBgn0041667	79704	154.341516028636	124.396796931011	genic	protein_coding	coding_3
FBgn0041668	46520	51.4647049987749	41.4797302863033	genic	protein_coding	coding_2
FBgn0041669	1061055.5	1740.74277485642	1403.01087513461	genic	protein_coding	coding_3
FBgn0041670	58959	57.00266336297	45.9432362811218	genic	protein_coding	coding_2
FBgn0041673	31250.0071	61.6961123803068	49.7260812300296	genic	protein_coding	coding_2
FBgn0041892	10935.35	52.026547009966	41.9325659741458	genic	protein_coding	coding_2
FBgn0041931	302205	427.605129423469	344.642905034577	genic	protein_coding	coding_3
FBgn0042853	15841.3707	136.546865330142	110.054592666359	genic	protein_coding	coding_3
FBgn0042854	91828.027	144.460567886977	116.432910537439	genic	protein_coding	coding_3
FBgn0042855	56914	137.811278145571	111.07368920166	genic	protein_coding	coding_3
FBgn0042856	5350	13.9266585233087	11.2246643471491	genic	protein_coding	coding_2
FBgn0042857	28308.394	36.4251605267345	29.3580976383759	genic	protein_coding	coding_2
FBgn0042858	11217.481	18.6107526952409	14.999969440067	genic	protein_coding	coding_2
FBgn0042859	3982.519	22.0083993347876	17.7384183677335	genic	protein_coding	coding_2
FBgn0042860	1647.00099995801	1.39715002978004	1.12608061012215	genic	protein_coding	coding_1
FBgn0042861	48	0.274835982290553	0.221513412321216	genic	protein_coding	coding_1
FBgn0042864	1	0.0058196481248921	0.00469054344307351	genic	protein_coding	coding_1
FBgn0043394	2211.99983	3.90156148185206	3.14459624254149	genic	protein_coding	coding_1
FBgn0043395	11279.34178	10.629621689326	8.56730531592821	genic	protein_coding	coding_2
FBgn0043398	38619	149.427633682046	120.436286239265	genic	protein_coding	coding_3
FBgn0043399	11542	199.823630224192	161.054654577867	genic	protein_coding	coding_3
FBgn0043400	25944	316.987804878293	255.487108120254	genic	protein_coding	coding_3
FBgn0043401	62362	724.236946767368	583.723412307548	genic	protein_coding	coding_3
FBgn0043403	64704.004998	290.166031452642	233.869187109673	genic	protein_coding	coding_3
FBgn0043621	143560	1106.80983890131	892.07105329655	genic	protein_coding	coding_3
FBgn0044187	3218	6.0591887342086	4.88360934847997	genic	protein_coding	coding_1
FBgn0044189	2986.8177	4.0424736157871	3.2581691719857	genic	protein_coding	coding_1
FBgn0044191	10472	32.3894613767351	26.1053885776202	genic	protein_coding	coding_2
FBgn0044193	16	0.0620693911831256	0.0500269379834662	genic	protein_coding	coding_1
FBgn0044194	2568.295	5.54545254058138	4.46954618129624	genic	protein_coding	coding_1
FBgn0044195	5052	9.64741816256156	7.77566496012683	genic	protein_coding	coding_2
FBgn0044199	30995	76.5950180722111	61.7343612673087	genic	protein_coding	coding_2
FBgn0044200	9753	28.7956242260354	23.2088132313228	genic	protein_coding	coding_2
FBgn0045530	30240.99	69.8906117629972	56.3307168581435	genic	protein_coding	coding_2
FBgn0045541	38651.2026837648	57.1249491021374	46.0417966338653	genic	protein_coding	coding_2
FBgn0045545	10379	24.8396761572764	20.0203822683424	genic	protein_coding	coding_2
FBgn0045558	16746	46.0378816682047	37.1057973536493	genic	protein_coding	coding_2
FBgn0045567	13515	14.0409475751807	11.3167794976476	genic	protein_coding	coding_2
FBgn0045574	9754	40.0798798947961	32.3037430795173	genic	protein_coding	coding_2
FBgn0045586	11086	23.9310486754704	19.2880430296946	genic	protein_coding	coding_2
FBgn0045589	7121	19.823217762335	15.9771969198675	genic	protein_coding	coding_2
FBgn0045603	303709.588	923.335590198672	744.193739109108	genic	protein_coding	coding_3
FBgn0045604	9986	43.1888373794795	34.8095131590177	genic	protein_coding	coding_2
FBgn0045605	7029	31.102139841874	25.067827980332	genic	protein_coding	coding_2
