JH602043.1_203037_219229 JH602043.1- 203037-219229	44.92
JH602043.1_278399_283208 JH602043.1- 278399-283208	41.25
JH602043.1_283549_292343 JH602043.1+ 283549-292343	46.56
JH602043.1_294587_311463 JH602043.1+ 294587-311463	47.67
JH602043.1_1334587_1339017 JH602043.1- 1334587-1339017	38.55
JH602043.1_1585207_1605206 JH602043.1+ 1585207-1605206	40.50
JH602043.1_1726652_1729109 JH602043.1+ 1726652-1729109	42.03
JH602043.1_1853621_1856240 JH602043.1- 1853621-1856240	31.87
JH602043.1_2391809_2395163 JH602043.1- 2391809-2395163	53.92
JH602043.1_2474373_2481776 JH602043.1+ 2474373-2481776	47.50
JH602043.1_2492474_2494372 JH602043.1+ 2492474-2494372	40.55
JH602043.1_2637974_2639707 JH602043.1+ 2637974-2639707	52.19
JH602043.1_2649705_2651256 JH602043.1- 2649705-2651256	52.32
JH602043.1_2746958_2762153 JH602043.1+ 2746958-2762153	44.59
JH602043.1_2764204_2766957 JH602043.1+ 2764204-2766957	41.94
JH602043.1_2907608_2909153 JH602043.1+ 2907608-2909153	41.91
JH602043.1_2910658_2912911 JH602043.1- 2910658-2912911	45.30
JH602043.1_2913252_2920838 JH602043.1+ 2913252-2920838	54.00
JH602043.1_2938348_2939604 JH602043.1- 2938348-2939604	48.61
JH602043.1_2939705_2948326 JH602043.1+ 2939705-2948326	47.68
JH602043.1_3023817_3042721 JH602043.1- 3023817-3042721	44.80
JH602043.1_3159602_3174642 JH602043.1+ 3159602-3174642	49.11
JH602043.1_3315127_3316769 JH602043.1- 3315127-3316769	46.44
JH602043.1_3593951_3601213 JH602043.1+ 3593951-3601213	49.00
JH602043.1_3952115_3953588 JH602043.1- 3952115-3953588	38.67
JH602043.1_3958968_3968565 JH602043.1- 3958968-3968565	39.62
JH602043.1_4071817_4074008 JH602043.1- 4071817-4074008	49.68
JH602043.1_4127238_4130556 JH602043.1- 4127238-4130556	58.00
JH602043.1_4142875_4148387 JH602043.1+ 4142875-4148387	48.12
JH602043.1_4209706_4212400 JH602043.1+ 4209706-4212400	47.24
JH602043.1_4415548_4422655 JH602043.1- 4415548-4422655	50.59
JH602043.1_4422756_4435346 JH602043.1+ 4422756-4435346	49.72
JH602043.1_4480169_4500168 JH602043.1+ 4480169-4500168	43.40
JH602043.1_5162237_5164699 JH602043.1- 5162237-5164699	47.91
JH602043.1_5173281_5176328 JH602043.1- 5173281-5176328	49.31
JH602043.1_5381798_5390247 JH602043.1- 5381798-5390247	49.78
JH602043.1_5459206_5460445 JH602043.1+ 5459206-5460445	31.21
JH602043.1_5677572_5684130 JH602043.1+ 5677572-5684130	41.29
JH602043.1_6782849_6796834 JH602043.1+ 6782849-6796834	37.58
JH602043.1_9905017_9909077 JH602043.1+ 9905017-9909077	40.66
JH602043.1_10744611_10746818 JH602043.1+ 10744611-10746818	38.63
JH602043.1_11824873_11826380 JH602043.1- 11824873-11826380	35.08
JH602043.1_12394324_12396112 JH602043.1- 12394324-12396112	34.88
JH602043.1_12568184_12569214 JH602043.1- 12568184-12569214	32.20
JH602043.1_13367163_13377978 JH602043.1- 13367163-13377978	39.28
JH602043.1_14443562_14446215 JH602043.1+ 14443562-14446215	35.91
JH602043.1_14800307_14803837 JH602043.1+ 14800307-14803837	46.13
