id	SRX109278	SRX109279	SRX1720957	SRX1720958
FBgn0043575	66.04105281	39.11345604	0.850219555	1.047342726
FBgn0043576	27.84926773	14.86801016	1.497637709	0.644340031
FBgn0043577	0	0	0.158739362	0
FBgn0043578	10.8952405	14.57435977	0.704946122	0.921371448
FBgn0043783	421.951334	409.3129523	218.5056706	252.2433962
FBgn0043791	0	0.157105824	0	0.070567098
FBgn0043792	5.11479285	4.45132171	0.170995534	0.419447594
FBgn0043796	41.45123443	49.97118786	9.292891635	8.501787239
FBgn0043799	0.716449899	1.997373764	1.564484063	1.332342312
FBgn0043806	0.342340257	3.590038898	0.583825733	0.50937997
FBgn0043825	94.17430914	103.8179566	0	0
FBgn0043841	155.3112476	136.2474795	57.16922621	62.16679454
FBgn0043853	0	0	0	0.999528855
FBgn0043854	0	0.153621936	0.175832728	0.232129136
FBgn0043865	3.995501707	4.579551853	8.216604617	5.856350514
FBgn0043884	15.67278436	46.40534962	21.09572496	22.55475032
FBgn0043900	12.89950395	72.49906866	28.60303251	22.78181988
FBgn0043903	17.38392148	39.0063814	10.61550697	10.5315182
FBgn0044011	0	1.067009421	0.300630032	0.44266114
FBgn0044020	9.408890702	6.877473478	19.64383184	19.18696294
FBgn0044028	0.086430865	0.281638897	0.693550189	0.835956924
FBgn0044030	31.59317561	32.86442502	17.51682817	17.77120236
FBgn0044046	2.038407528	0	0.568426763	0.499238119
FBgn0044047	11.45395241	31.23836834	5.658519638	4.531746191
FBgn0044048	0	0	0	0
FBgn0044049	0	0	0	0.099265562
FBgn0044050	0.270337704	1.29255014	1.948083618	1.239728517
FBgn0044051	0	0	0	0
FBgn0044323	91.31591667	124.7181653	59.81137006	58.80665648
FBgn0044324	6.325011015	13.03330328	14.00464372	11.82999814
FBgn0044328	0	0.767746242	0.623560968	1.038535793
FBgn0044419	5.482638028	4.750912924	22.32910759	16.35766485
FBgn0044452	5.820793219	11.03649316	10.12722074	9.043408216
FBgn0044508	0	0	0	0
FBgn0044510	4.293922925	8.19546635	59.75428095	43.11939824
FBgn0044511	69.21032477	33.52747601	166.0637771	206.0184172
FBgn0044809	0	0	0	0
FBgn0044810	4.060457978	0	0.448624631	0
FBgn0044811	0	1.435046181	0.729361504	0.428496405
FBgn0044812	0	0.662380253	0	0.206397189
FBgn0044817	0	0	0	1.216328437
FBgn0044823	7.201390621	25.67687546	23.58569777	18.03458578
FBgn0044826	3.820357659	18.93298182	8.95265715	6.560399635
FBgn0044871	14.41927773	28.61539132	24.16588525	22.92199266
FBgn0044872	0	0	0.110012188	0
FBgn0045035	0.203561302	1.787231662	6.283094842	5.672848201
FBgn0045038	0.090042321	0	0.198530495	0
FBgn0045063	54.04078341	30.06580274	32.72854736	33.82164697
FBgn0045064	42.1388501	36.28152591	29.67038106	27.7066176
FBgn0045073	10.09348175	32.15337574	61.47856193	52.48480748
FBgn0045442	0	0	0	0.065443579
FBgn0045443	1.162938168	0	0.581297619	0.712865141
FBgn0045468	0	0	0	0
FBgn0045469	0.449298536	0.240473591	0.554007357	0.772694947
FBgn0045470	0	0	0	0
