Chip.ID	Proportion_Coding_present_marginal
GSM107041	62.6348512854982
GSM107042	63.1430300585031
GSM107043	65.0105885912131
GSM107044	61.3634836368524
GSM107047	64.0782573618394
GSM107048	64.6159018322407
GSM107045	57.7069121946302
GSM107046	59.5636681457577
GSM107049	65.2850611805836
GSM107050	65.7683389898854
GSM107051	61.2504201680672
GSM107052	57.2590401935744
GSM106992	65.3899136511776
GSM106993	69.7952734729553
GSM106994	63.0876768491447
GSM106995	57.8024193548387
GSM106998	67.0844393669568
GSM106999	67.1629751621685
GSM107000	65.8943403840334
GSM106996	64.5240415308625
GSM106997	66.1683184948765
GSM107001	66.3473496689187
GSM107002	68.099623554719
GSM107003	65.0631975258841
GSM107004	60.4418143303857
GSM107017	67.6925144469829
GSM107018	56.0127752563456
GSM107019	66.9243177846485
GSM107020	63.8766519823789
GSM107023	67.2547043010753
GSM107024	63.4597936758628
GSM107021	67.6836234124051
GSM107022	66.7159713584563
GSM107025	66.4873768783407
GSM107026	69.0965920548498
GSM107027	66.5322038456367
GSM107028	67.3107295272019
GSM107005	61.2925993143779
GSM107006	65.2828666509799
GSM107007	65.9519408502773
GSM107008	58.159150480543
GSM107011	65.3414437424385
GSM107012	64.5370525962023
GSM107009	67.9146361955974
GSM107010	64.8573253117333
GSM107013	67.3714996470232
GSM107014	66.3338711846175
GSM107015	65.6626100988368
GSM107016	63.0434782608696
GSM107029	64.1321147772327
GSM107030	58.5197876772156
GSM107031	63.871618215426
GSM107032	63.4252100840336
GSM107035	57.7650814989077
GSM107036	63.9042914272272
GSM107033	64.7766611770242
GSM107034	63.7891058167277
GSM107037	62.1635245488457
GSM107038	63.2965851035225
GSM107039	65.8666128815383
GSM107040	63.1186121570737
GSM44349	39.8729058347776
GSM44350	33.9110340843443
GSM44351	38.9023685730791
GSM44352	37.5505488157135
GSM44353	38.0127094165222
GSM44370	30.0354191263282
GSM185497	68.4690930098209
GSM81927	63.5656821985854
GSM81928	72.0101506398143
GSM81929	67.021219156633
DBA_MEXP_1503_11687_Norm	66.6778579822058
GSM89632	73.5705415474326
GSM89633	74.9149613951731
GSM26706	59.052570768342
GSM26707	57.8856152512998
GSM48242	57.7700751010976
GSM48244	57.9549393414211
GSM48245	53.8763720392837
GSM4652	46.9786250722126
GSM4653	47.3252455228192
GSM140866	57.4738114423852
DBA_MEXP_1638_12944_Norm	57.5852108607741
DBA_MEXP_1638_12945_Norm	58.1282495667244
DBA_MEXP_1638_12946_Norm	48.9774696707106
GSM6689	39.0641247833622
GSM6690	46.6666666666667
GSM27676	61.1900635470826
GSM27677	52.3512420566147
GSM27678	57.2501444251878
GSM27679	59.9768919699596
GSM27680	53.2524552281918
GSM27681	59.8613518197574
GSM27682	64.8642403235124
GSM27683	56.2796071634893
GSM23483	42.1490467937608
GSM23484	40.577700751011
GSM23485	44.0207972270364
GSM23486	43.6626227614096
GSM23487	39.6764875794339
GSM23488	40.4852686308492
GSM826838_sample_table.txt	62.6959879133792
GSM47003	41.3956717972457
GSM47004	51.695405624349
GSM27459	63.4893125361063
GSM27460	61.0629693818602
GSM27455	54.2461005199307
GSM27458	57.8162911611785
GSM31623	55.2134359692092
GSM134973	46.4985691917283
GSM134974	48.2641326062308
GSM17378	52.9173887926054
GSM17379	51.3113807047949
GSM17380	49.4511842865396
GSM17381	47.8798382437897
GSM17382	47.2443674176776
GSM17383	50.3639514731369
GSM17384	52.0623916811092
GSM22669	30.4922074491503
GSM22670	26.1512723430483
GSM22671	31.0205159813331
GSM22672	29.118605265475
GSM22699	29.4267852425817
GSM22700	28.9072818526019
GSM22701	26.089636347627
GSM22674	28.2028704763582
GSM22675	28.5814915910892
GSM22676	25.7902615127234
GSM22677	30.3513251739016
GSM22678	27.1286431275865
GSM22679	29.6469137976578
GSM22680	29.0481641278507
GSM22695	23.2367702738399
GSM22696	25.3588095447741
GSM22697	27.1902791230078
GSM22698	23.9059610812715
GSM22652	49.0441732368506
GSM22665	48.5097192224622
GSM22666	46.746935910588
GSM22667	51.1447084233261
GSM22668	48.8310566384105
GSM22657	47.5082338966578
GSM22659	47.3596112311015
GSM22541	46.8746389370306
GSM22542	45.3841709994223
GSM22543	46.262276140959
GSM22544	45.3032928942808
GSM22555	48.1340265742345
GSM22556	46.9324090121317
GSM22557	51.1265164644714
GSM22545	39.1218948584633
GSM22546	42.4890224173792
GSM22547	39.6995956094743
GSM22548	44.1825534373195
GSM22549	43.3391103408434
GSM22550	43.523974581167
GSM22551	36.6955517042172
GSM22552	39.5956094742923
GSM22553	42.2876949740035
GSM22554	43.5008665511265
GSM50713	60.7796555261595
GSM50727	61.1792019869337
GSM50721	62.6187904967603
GSM50707	61.2385940284002
GSM50724	63.7708547054695
GSM50717	61.6489390421684
GSM13455	46.0311958405546
GSM13465	61.8717504332756
GSM13451	56.9612940496823
GSM13461	59.630271519353
GSM13473	61.1669555170422
GSM230343	57.9990281302305
GSM230344	59.4622320609038
GSM7467	44.8696383515559
GSM7468	44.4467816575515
GSM7469	40.6394615061001
GSM7457	45.6878418174169
GSM7459	37.6945729911653
GSM7461	35.5144119503471
GSM7463	41.1863693731594
GSM7465	38.3838383838384
GSM7472	27.1589868782423
GSM7473	32.1330485199878
GSM7474	35.3084911423335
GSM7475	28.6542569423253
GSM7476	30.9923664122137
GSM7458	32.967032967033
GSM7460	42.0152671755725
GSM7462	33.4555453712191
GSM7464	29.0164935858277
GSM7466	27.5251754653647
GSM88933	54.789139225881
GSM88935	56.1294049682265
GSM88942	54.315424610052
GSM107448	55.2828605002518
