Chip.ID	Proportion_Coding_present_marginal
BS2005052025	55.812321148966
BS2005052026	55.1482101398413
BS2005052027	54.219534582366
GSM17210	27.6692873446614
NROGMOU_01_040930	40.0604331039114
NROGMOU_07_040930	46.5670639583683
GSM267982	74.7356051703878
GSM267983	75.0478428739298
GSM267991	72.0228302836998
GSM267994	69.6390800738627
GSM267980	74.5744502266242
GSM267986	73.9063286889374
GSM267990	71.8482457612892
GSM453556	66.7382910861172
GSM453557	68.4707067315763
GSM453558	69.6021487325835
GSM453559	68.0678193721672
GSM453560	68.5109954675172
GSM453561	68.6318616753399
GSM453565	68.5445694141346
GSM453566	69.1354708746013
GSM453567	66.5167030384422
GSM453568	69.1321134799396
GSM453569	68.2054725532986
GSM453570	66.3689776733255
GSM239868	66.3253315427228
GSM239869	67.7857982205808
GSM239870	67.392983045157
GSM239871	66.5905657210005
GSM239872	67.6347154608024
GSM239873	67.3996978344804
GSM239874	66.5771361423535
GSM239875	68.7292261205305
GSM239876	68.4069162330032
GSM239877	68.6419338593252
GSM239878	67.5507805942589
GSM239879	65.9895920765486
GSM239891	67.7757260365956
GSM239892	68.4136310223267
GSM239893	67.9637401376532
GSM239894	68.9978176934699
GSM239895	69.3805606849085
GSM239896	68.4203458116502
GSM239897	66.7718650327346
GSM239898	67.6548598287729
GSM239899	67.0236696323653
GSM239900	67.4769179117005
GSM239901	67.8395165351687
GSM239902	67.7387946953164
GSM239915	67.7925130099043
GSM239916	68.4404901796206
GSM239917	65.3751888534497
GSM239918	65.9694477085781
GSM239919	68.6251468860165
GSM239920	67.7320799059929
GSM239921	66.7315762967937
GSM239922	69.3637737115998
GSM239923	67.2654020480107
GSM239924	68.396844049018
GSM239925	67.9637401376532
GSM239926	68.2121873426221
GSM436516	63.0048682222595
GSM436517	64.9588719153937
GSM124308	52.6537443982506
GSM124309	51.5036985044004
GSM124310	55.2885913287619
GSM284938	47.3459795198926
GSM284939	49.9815343293604
GSM284940	45.710928319624
GSM159348	59.4023837502098
GSM159349	56.2330031895249
GSM159350	57.8076212858822
GSM176495	49.9446029880813
GSM176496	42.2326674500588
GSM176497	45.0864529125399
GSM176498	48.695652173913
GSM156808	49.000577700751
GSM156810	41.8255343731947
GSM640274	60.8561356387443
GSM640275	57.7438307873091
GSM640276	60.7587711935538
GSM640277	63.6729897599463
GSM640278	60.3592412288064
GSM640279	60.4532482793352
GSM640280	59.8724190028538
GSM640281	61.0743662917576
GSM640282	58.9894242068155
GSM658269	61.7257008561356
GSM658270	61.6081920429747
GSM658271	61.2288064461978
GSM658272	62.2897431593084
GSM658273	60.2115158636898
GSM658274	60.7990599294947
04SE144MG4302.0_160304	43.676347154608
GSM280481	39.7494735705415
GSM280483	45.6616813347012
GSM280484	40.553965768587
GSM280478	46.4931699152314
GSM280479	48.1183521408131
GSM280480	35.2356784190918
GSM318556	48.4909022191026
GSM318557	44.500836887857
GSM318558	47.3192592192646
affs462-4-h116-091105	45.1435286217895
affs462-5-h118-091105	45.6504952157126
GSM156787	52.3743500866551
GSM156788	50.7105719237435
GSM156789	52.1317157712305
GSM370448	60.5438979352023
GSM370449	60.2518045996307
GSM370450	59.6105422192379
GSM370426	53.6914554305859
GSM370427	54.067483632701
GSM370428	52.868893738459
GSM370455	67.0471713949975
GSM370459	65.5027698505959
GSM370414	68.0107436629176
GSM370415	67.7488668793017
GSM370416	66.9800235017626
GSM370438	62.007722007722
GSM370439	59.2848749370488
GSM44658	51.2405573275138
GSM44659	49.9110290414638
GSM44663	51.3513513513513
Preg_d18_G1P0_MG_U74Av2_1	38.578856152513
Preg_d18_G1P0_MG_U74Av2_2	48.3766608896592
Preg_d18_G1P0_MG_U74Av2_3	46.632004621606
GSM297907	45.7538994800693
GSM297910	53.6683997689197
GSM297913	54.1652224147891
GSM297916	51.6233391103409
GSM297919	50.7683419988446
GSM297922	52.6285384170999
GSM297925	30.1213171577123
GSM297928	46.4124783362218
GSM297931	50.2368573079145
GSM297934	33.1946851530907
GSM297908	41.7001180637544
GSM297911	48.1700118063754
GSM297914	49.0791027154663
GSM297917	45.6198347107438
GSM297920	43.7308146399055
GSM297923	45.9386068476978
GSM297929	44.9468713105077
GSM297932	48.9846517119244
GSM297909	37.7010897768552
GSM297912	38.2459782044629
GSM297915	37.1821484172289
GSM297918	34.2501297353399
GSM297921	33.2900882200311
GSM297924	32.4857291126103
GSM297927	33.2122470160872
GSM297930	19.7457187337831
GSM297933	32.6154644525169
GSM297936	30.9289050337312
GSM154332	64.1799563538694
GSM154333	54.641598119859
GSM154334	54.9169044821219
GSM154335	48.9877455094846
GSM115690	48.5579989927816
GSM115691	48.930669800235
GSM115692	43.9717978848414
GSM109540	59.5031773541306
GSM109563	61.9179664933564
GSM109554	53.4604274985558
GSM109565	43.6717827626919
GSM109556	32.0779220779221
GSM109544	27.3741567202906
GSM109567	35.4436948624805
GSM109558	21.4063310845874
GSM156165	49.622293100554
GSM156167	48.8467349336915
GSM246378	62.6389122041296
cel-file-13419	53.077052207487
cel-file-13425	42.2091656874266
cel-file-13439	55.762967936881
3.11.04_9Full_lin	49.3979806705901
8.26.03_9Full_lin	47.1788780303439
3.4.04_1Full_lin	49.9379083202851
8.26.03_11Full_lin	47.6378165325846
3.11.04_5Full_lin	46.8711192700178
8.26.03_7Full_lin	48.6960747259867
1364	62.9447654014362
1753	63.5224879866098
1756	63.7222612169969
1863	62.2752551158145
1869	64.4835592030668
GSM296690	41.5611885177103
GSM296691	24.0053718314588
GSM296692	26.9330199764982
GSM296693	41.2690951821387
