id	minimum_pValue	call	cutoff
ENSG00000006625	6.11E-17	present	0.05
ENSG00000006634	2.88E-11	present	0.05
ENSG00000006638	1.33E-08	present	0.05
ENSG00000006652	6.89E-22	present	0.05
ENSG00000006659	0.006557248	present	0.05
ENSG00000006695	3.47E-10	present	0.05
ENSG00000006704	5.32E-12	present	0.05
ENSG00000006712	1.82E-16	present	0.05
ENSG00000006715	1.50E-19	present	0.05
ENSG00000006740	8.36E-15	present	0.05
ENSG00000006744	1.02E-17	present	0.05
ENSG00000006747	5.02E-12	present	0.05
ENSG00000006756	1.50E-15	present	0.05
ENSG00000006757	1.54E-13	present	0.05
ENSG00000006788	0.116269558	absent	0.05
ENSG00000006831	6.05E-18	present	0.05
ENSG00000006837	7.26E-09	present	0.05
ENSG00000007001	0.007258711	present	0.05
ENSG00000007038	3.32E-10	present	0.05
ENSG00000007047	1.03E-14	present	0.05
ENSG00000007062	1.48E-19	present	0.05
ENSG00000007080	4.66E-18	present	0.05
ENSG00000007129	1.25E-11	present	0.05
ENSG00000007168	5.65E-24	present	0.05
ENSG00000007171	3.06E-08	present	0.05
ENSG00000007174	3.45E-12	present	0.05
ENSG00000007202	4.97E-19	present	0.05
ENSG00000007216	0.000749344	present	0.05
ENSG00000007237	2.20E-14	present	0.05
ENSG00000007255	1.63E-15	present	0.05
ENSG00000007264	7.20E-13	present	0.05
ENSG00000007306	0.042422004	present	0.05
ENSG00000007312	2.49E-13	present	0.05
ENSG00000007314	0.012918463	present	0.05
ENSG00000007341	1.52E-13	present	0.05
ENSG00000007350	2.01E-10	present	0.05
ENSG00000007372	0.000119979	present	0.05
ENSG00000007376	7.63E-12	present	0.05
ENSG00000007384	7.26E-17	present	0.05
ENSG00000007392	5.78E-18	present	0.05
ENSG00000007402	1.08E-20	present	0.05
ENSG00000007516	1.32E-11	present	0.05
ENSG00000007520	9.98E-17	present	0.05
ENSG00000007541	5.24E-18	present	0.05
ENSG00000007545	2.34E-13	present	0.05
ENSG00000007866	2.32E-13	present	0.05
ENSG00000007908	8.53E-10	present	0.05
ENSG00000007923	1.27E-14	present	0.05
ENSG00000007933	1.20E-12	present	0.05
ENSG00000007944	5.09E-17	present	0.05
ENSG00000007952	2.15E-06	present	0.05
ENSG00000007968	4.04E-05	present	0.05
ENSG00000008018	5.76E-24	present	0.05
ENSG00000008056	2.55E-08	present	0.05
ENSG00000008083	5.89E-10	present	0.05
ENSG00000008086	6.58E-11	present	0.05
ENSG00000008118	1.24E-05	present	0.05
ENSG00000008128	5.04E-17	present	0.05
ENSG00000008130	8.26E-19	present	0.05
ENSG00000008196	0.192900221	absent	0.05
ENSG00000008197	0.460241691	absent	0.05
ENSG00000008226	1.58E-13	present	0.05
ENSG00000008256	8.64E-16	present	0.05
ENSG00000008277	1.25E-08	present	0.05
ENSG00000008282	1.01E-21	present	0.05
ENSG00000008283	1.95E-18	present	0.05
ENSG00000008294	8.57E-23	present	0.05
ENSG00000008300	0.000151684	present	0.05
ENSG00000008311	7.08E-12	present	0.05
ENSG00000008323	1.99E-07	present	0.05
ENSG00000008324	1.18E-13	present	0.05
ENSG00000008382	6.32E-13	present	0.05
ENSG00000008394	7.66E-25	present	0.05
ENSG00000008405	5.74E-15	present	0.05
ENSG00000008438	3.45E-08	present	0.05
ENSG00000008441	5.97E-20	present	0.05
ENSG00000008513	3.29E-19	present	0.05
ENSG00000008516	1.82E-12	present	0.05
ENSG00000008517	2.24E-28	present	0.05
ENSG00000008710	5.59E-18	present	0.05
ENSG00000008735	0.00030802	present	0.05
ENSG00000008838	3.46E-18	present	0.05
ENSG00000008853	9.59E-19	present	0.05
ENSG00000008869	1.58E-14	present	0.05
ENSG00000008952	3.43E-31	present	0.05
ENSG00000008988	1.04E-55	present	0.05
ENSG00000009307	2.80E-37	present	0.05
ENSG00000009335	8.44E-18	present	0.05
ENSG00000009413	1.42E-20	present	0.05
