libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	approach	cutoff	mean	standard_deviation
ERX012377	0.523616	26.3557229621353	14624	55487	54.4310722100656	11940	21936	0.409862311879603	128	31230	pValueCutoff	0.001	0.0127453785567715	3.32797276356617
ERX012377	0.209022	30.6774559806802	17022	55487	59.3408096280087	13017	21936	1.41530579570925	442	31230	pValueCutoff	0.01	0.0127453785567715	3.32797276356617
ERX012377	0.0921073	34.2638816299313	19012	55487	63.1108679795769	13844	21936	3.93211655459494	1228	31230	pValueCutoff	0.05	0.0127453785567715	3.32797276356617
ERX012377	0.224275	30.3494512228089	16840	55487	58.9669948942378	12935	21936	1.30003202049312	406	31230	qValueCutoff	0.05	NA	NA
ERX016336	1.53954623	14.4700560491647	8029	55487	33.4746535375638	7343	21936	0.121677873839257	38	31230	pValueCutoff	0.001	0.0405152027394595	3.24325919879048
ERX016336	0.625854	18.6349955845513	10340	55487	41.5435813274982	9113	21936	0.291386487351905	91	31230	pValueCutoff	0.01	0.0405152027394595	3.24325919879048
ERX016336	0.280903	22.0916611098095	12258	55487	48.0397520058352	10538	21936	0.74287544028178	232	31230	pValueCutoff	0.05	0.0405152027394595	3.24325919879048
ERX016336	0.1974318	23.3333934074648	12947	55487	50.3874908825675	11053	21936	1.13992955491515	356	31230	qValueCutoff	0.05	NA	NA
ERX016337	1.62184	14.0393245264657	7790	55487	32.5674690007294	7144	21936	0.112071725904579	35	31230	pValueCutoff	0.001	0.0407968498031945	3.29190366626575
ERX016337	0.652328	18.1465928956332	10069	55487	40.9555069292487	8984	21936	0.268972142170989	84	31230	pValueCutoff	0.01	0.0407968498031945	3.29190366626575
ERX016337	0.289725	21.6627318110548	12020	55487	47.3422684172137	10385	21936	0.601985270573167	188	31230	pValueCutoff	0.05	0.0407968498031945	3.29190366626575
ERX016337	0.167646	23.5766936399517	13082	55487	50.9801239970824	11183	21936	1.11431316042267	348	31230	qValueCutoff	0.05	NA	NA
ERX016340	1.60055	15.888406293366	8816	55487	36.6019328956966	8029	21936	0.16010246557797	50	31230	pValueCutoff	0.001	0.0461606375881478	3.15008314616068
ERX016340	0.666505	20.3453061077369	11289	55487	44.9990882567469	9871	21936	0.451488952929875	141	31230	pValueCutoff	0.01	0.0461606375881478	3.15008314616068
ERX016340	0.304784	24.1353830626994	13392	55487	51.6229029905179	11324	21936	1.0726865193724	335	31230	pValueCutoff	0.05	0.0461606375881478	3.15008314616068
ERX016340	0.30346	24.1552075260872	13403	55487	51.6593727206419	11332	21936	1.07588856868396	336	31230	qValueCutoff	0.05	NA	NA
ERX1174307	0.7193022	24.2669454106367	13465	55487	50.7613056163384	11135	21936	0.384245917387128	120	31230	pValueCutoff	0.001	0.00974887079909078	4.0214995967164
ERX1174307	0.248339	29.4663614900788	16350	55487	57.9093727206419	12703	21936	1.45693243675953	455	31230	pValueCutoff	0.01	0.00974887079909078	4.0214995967164
ERX1174307	0.0962049	34.7234487357399	19267	55487	64.3508388037929	14116	21936	4.28113992955492	1337	31230	pValueCutoff	0.05	0.00974887079909078	4.0214995967164
ERX1174307	0.270417	29.0356299673797	16111	55487	57.3851203501094	12588	21936	1.30003202049312	406	31230	qValueCutoff	0.05	NA	NA
ERX1174311	0.560317	24.0164362823724	13326	55487	50.191466083151	11010	21936	0.448286903618316	140	31230	pValueCutoff	0.001	0.00689735272700125	4.14947854767313
ERX1174311	0.18912	29.2915457674771	16253	55487	57.1845368344274	12544	21936	1.48895292987512	465	31230	pValueCutoff	0.01	0.00689735272700125	4.14947854767313
ERX1174311	0.071648	34.817164380846	19319	55487	63.6943836615609	13972	21936	4.42523214857509	1382	31230	pValueCutoff	0.05	0.00689735272700125	4.14947854767313
ERX1174311	0.209601	28.725647448952	15939	55487	56.4551422319475	12384	21936	1.32885046429715	415	31230	qValueCutoff	0.05	NA	NA
ERX1174315	0.534964	24.0092273865951	13322	55487	50.1777899343545	11007	21936	0.464297150176113	145	31230	pValueCutoff	0.001	0.00677320011074233	4.11177557363701
