libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	approach	cutoff	mean	standard_deviation
SRX329386	0.444727	37.7651421508035	22914	60675	77.0390026535823	15387	19973	5.21252207899583	1387	26609	pValueCutoff	0.05	0.0527127959674586	3.65640718909494
SRX329387	0.31435	37.3811289658014	22681	60675	77.1892054273269	15417	19973	4.97951820812507	1325	26609	pValueCutoff	0.05	0.0377910021671002	3.62478659708141
SRX329388	0.334248	36.4499381953028	22116	60675	75.2165423321484	15023	19973	5.16366642865196	1374	26609	pValueCutoff	0.05	0.0397618878682804	3.64769604546174
SRX329389	0.347163	36.9031726411207	22391	60675	76.1828468432384	15216	19973	5.18997331729866	1381	26609	pValueCutoff	0.05	0.0407946191827096	3.67549861075811
SRX329390	0.267746	35.996703749485	21841	60675	75.1915085365243	15018	19973	4.40828291179676	1173	26609	pValueCutoff	0.05	0.0394088714568231	3.20492758893109
SRX329391	0.296715	37.1174289245983	22521	60675	75.9675562008712	15173	19973	5.434251569018	1446	26609	pValueCutoff	0.05	0.035110720732836	3.66006037269912
SRX329392	0.381943	37.6744952616399	22859	60675	76.8988133980874	15359	19973	5.42673531511895	1444	26609	pValueCutoff	0.05	0.045072734658315	3.66618508325484
SRX329393	0.377808	37.5426452410383	22779	60675	76.6685024783458	15313	19973	5.31023337968357	1413	26609	pValueCutoff	0.05	0.0440995348677319	3.69078443399786
SRX329394	0.81744	34.823238566131	21129	60675	71.7368447403995	14328	19973	5.71986921718216	1522	26609	pValueCutoff	0.05	0.0933791293136589	3.73940458350471
SRX329395	0.607354	34.4622991347342	20910	60675	72.302608521504	14441	19973	5.52820474275621	1471	26609	pValueCutoff	0.05	0.0656335221991173	3.86792897663678
SRX329396	0.607023	34.2084878450762	20756	60675	71.6717568717769	14315	19973	5.70859483633357	1519	26609	pValueCutoff	0.05	0.0660455162396975	3.85162447693386
SRX329397	0.563947	35.3638236505974	21457	60675	73.6394132078306	14708	19973	5.7386598519298	1527	26609	pValueCutoff	0.05	0.0595640563705798	3.92196613576833
SRX329398	0.641328	33.9678615574784	20610	60675	70.7404996745607	14129	19973	5.78751550227367	1540	26609	pValueCutoff	0.05	0.0651173244504931	4.01703742499392
SRX329399	0.676566	34.8496085702513	21145	60675	72.3977369448756	14460	19973	5.32902401443121	1418	26609	pValueCutoff	0.05	0.0763870201980781	3.76570086965055
SRX329400	0.460685	41.237510747428	13909	33729	57.7761565530856	13463	23302	5.65037084296993	1417	25078	pValueCutoff	0.05	0.0295771881134835	5.30655922376912
SRX329401	0.570516	39.9567138071096	13477	33729	55.8836151403313	13022	23302	5.63840816652046	1414	25078	pValueCutoff	0.05	0.0353554714554819	5.42215537419782
SRX329402	0.390269	38.3735064781049	12943	33729	53.9224100935542	12565	23302	5.22370204960523	1310	25078	pValueCutoff	0.05	0.0253596705151351	5.26891361130722
SRX329403	0.660601	38.7915443683477	13084	33729	54.5275083683804	12706	23302	5.28750299066911	1326	25078	pValueCutoff	0.05	0.0414860849717433	5.37941608574289
SRX329404	0.389758	38.1807939755107	12878	33729	53.57909192344	12485	23302	5.07616237339501	1273	25078	pValueCutoff	0.05	0.025760760101646	5.21440598520054
SRX329405	0.4645348	37.3595422336861	12601	33729	52.3688953737877	12203	23302	5.30744078475157	1331	25078	pValueCutoff	0.05	0.0310744096700616	5.17730258225857
SRX329406	0.942176	44.7211598327848	15084	33729	62.1877950390524	14491	23302	6.36015631230561	1595	25078	pValueCutoff	0.05	0.0686613591061349	4.91434069256611
SRX329407	0.925752	43.1142340419224	14542	33729	60.0334735215861	13989	23302	6.34420607703964	1591	25078	pValueCutoff	0.05	0.0650671819907383	5.02382774687799
SRX329408	0.909592	43.2891576981233	14601	33729	60.4712041884817	14091	23302	6.10096498923359	1530	25078	pValueCutoff	0.05	0.0650201012722899	4.97147841336409
SRX329409	0.923325	43.4966942393786	14671	33729	60.6900695219294	14142	23302	6.23255443017785	1563	25078	pValueCutoff	0.05	0.0662231085781238	4.96239457263294
