id	minimum_qValue	call	cutoff
FBgn0030058	1.01E-05	present	0.05
FBgn0030060	0.00011613	present	0.05
FBgn0030061	0.000488098	present	0.05
FBgn0030063	8.29E-06	present	0.05
FBgn0030065	0.004788485	present	0.05
FBgn0030066	0.000486159	present	0.05
FBgn0030067	8.17E-06	present	0.05
FBgn0030071	0.000122296	present	0.05
FBgn0030073	0.002294645	present	0.05
FBgn0030074	0.144743434	absent	0.05
FBgn0030077	0.017274339	absent	0.05
FBgn0030078	0.000673151	present	0.05
FBgn0030081	0.004616915	present	0.05
FBgn0030082	3.50E-05	present	0.05
FBgn0030085	1.77E-08	present	0.05
FBgn0030086	1.77E-08	present	0.05
FBgn0030087	0.000689279	present	0.05
FBgn0030088	0.001515896	present	0.05
FBgn0030089	0.000841327	present	0.05
FBgn0030090	0.016532762	absent	0.05
FBgn0030091	0.003541077	present	0.05
FBgn0030092	0.000263123	present	0.05
FBgn0030093	1.27E-05	present	0.05
FBgn0030096	0.001024666	present	0.05
FBgn0030097	0.215036779	absent	0.05
FBgn0030098	9.91E-06	present	0.05
FBgn0030099	0.000589335	present	0.05
FBgn0030100	0.010696812	present	0.05
FBgn0030101	1.77E-08	present	0.05
FBgn0030102	0.025438038	absent	0.05
FBgn0030103	0.000382425	present	0.05
FBgn0030104	1.77E-08	present	0.05
FBgn0030105	1	absent	0.05
FBgn0030107	0.044590217	absent	0.05
FBgn0030108	0.059090771	absent	0.05
FBgn0030109	0.000579645	present	0.05
FBgn0030114	5.68E-05	present	0.05
FBgn0030116	3.69E-06	present	0.05
FBgn0030117	1	absent	0.05
FBgn0030120	1.80E-05	present	0.05
FBgn0030121	0.001626465	present	0.05
FBgn0030122	0.001008324	present	0.05
FBgn0030136	1.77E-08	present	0.05
FBgn0030137	0.01477676	absent	0.05
FBgn0030141	0.000751257	present	0.05
FBgn0030148	0.003160821	present	0.05
FBgn0030151	5.66E-06	present	0.05
FBgn0030156	0.051297466	absent	0.05
FBgn0030157	3.19E-06	present	0.05
FBgn0030158	0.00820996	present	0.05
FBgn0030159	1.77E-08	present	0.05
FBgn0030160	1.77E-08	present	0.05
FBgn0030161	0.05107382	absent	0.05
FBgn0030162	0.05621657	absent	0.05
FBgn0030163	1	absent	0.05
FBgn0030164	0.103925672	absent	0.05
FBgn0030167	0.295440879	absent	0.05
FBgn0030170	0.031231635	absent	0.05
FBgn0030174	0.055221743	absent	0.05
FBgn0030177	0.000536419	present	0.05
FBgn0030178	0.001206818	present	0.05
FBgn0030181	1.77E-08	present	0.05
FBgn0030183	1.77E-08	present	0.05
FBgn0030186	0.051130482	absent	0.05
FBgn0030187	0.045451602	absent	0.05
FBgn0030189	0.000606415	present	0.05
FBgn0030191	1.77E-08	present	0.05
FBgn0030195	1.77E-08	present	0.05
FBgn0030196	0.003527518	present	0.05
FBgn0030200	1	absent	0.05
FBgn0030202	1	absent	0.05
FBgn0030204	0.192886517	absent	0.05
FBgn0030206	0.000295229	present	0.05
FBgn0030207	1.77E-05	present	0.05
FBgn0030208	0.000774997	present	0.05
FBgn0030215	1.77E-08	present	0.05
FBgn0030217	0.001803825	present	0.05
FBgn0030218	1.77E-08	present	0.05
FBgn0030221	0.002667523	present	0.05
FBgn0030222	0.005484764	present	0.05
FBgn0030223	0.011380498	present	0.05
FBgn0030224	6.04E-05	present	0.05
FBgn0030228	3.83E-05	present	0.05
FBgn0030230	0.012411285	present	0.05
FBgn0030234	0.001325782	present	0.05
FBgn0030237	0.000552036	present	0.05
FBgn0030239	1.22E-05	present	0.05
FBgn0030240	6.11E-05	present	0.05
FBgn0030241	1.77E-08	present	0.05
FBgn0030242	0.000117247	present	0.05
FBgn0030243	0.003363555	present	0.05
FBgn0030244	0.001318299	present	0.05
FBgn0030245	1.39E-05	present	0.05
FBgn0030246	0.000156975	present	0.05
FBgn0030247	3.89E-06	present	0.05
FBgn0030251	0.000782665	present	0.05
FBgn0030257	0.029950391	absent	0.05
FBgn0030258	0.003775082	present	0.05
FBgn0030259	1	absent	0.05
FBgn0030260	0.053954944	absent	0.05
FBgn0030261	0.012763412	absent	0.05
FBgn0030262	0.006375039	present	0.05
FBgn0030263	1.77E-08	present	0.05
FBgn0030266	0.000644399	present	0.05
FBgn0030268	1.77E-08	present	0.05
FBgn0030269	0.004919152	present	0.05
FBgn0030270	0.017681317	absent	0.05
FBgn0030271	0.015806968	absent	0.05
FBgn0030272	0.00550836	present	0.05
FBgn0030274	0.000500214	present	0.05
FBgn0030276	0.00121773	present	0.05
FBgn0030277	1.77E-08	present	0.05
FBgn0030278	1.77E-08	present	0.05
FBgn0030280	1.77E-08	present	0.05
FBgn0030283	1.77E-08	present	0.05
FBgn0030286	0.002979992	present	0.05
FBgn0030289	6.58E-05	present	0.05
FBgn0030290	1.77E-08	present	0.05
FBgn0030291	0.0004887	present	0.05
FBgn0030292	6.58E-05	present	0.05
FBgn0030293	0.009194028	present	0.05
FBgn0030294	0.003316076	present	0.05
FBgn0030296	6.74E-05	present	0.05
FBgn0030297	1	absent	0.05
FBgn0030298	0.100464745	absent	0.05
FBgn0030300	0.049814324	absent	0.05
FBgn0030301	0.016439209	absent	0.05
FBgn0030304	0.008370943	present	0.05
FBgn0030305	0.000233326	present	0.05
FBgn0030306	1.77E-08	present	0.05
FBgn0030307	0.001641325	present	0.05
FBgn0030309	1.77E-08	present	0.05
FBgn0030310	5.56E-06	present	0.05
FBgn0030311	1.77E-08	present	0.05
FBgn0030313	0.000142721	present	0.05
FBgn0030314	0.000192408	present	0.05
FBgn0030316	0.0001954	present	0.05
FBgn0030317	0.021614226	absent	0.05
FBgn0030318	0.00063057	present	0.05
FBgn0030319	1.77E-08	present	0.05
FBgn0030320	0.000181391	present	0.05
FBgn0030321	1.74E-05	present	0.05
FBgn0030323	8.24E-05	present	0.05
FBgn0030326	1	absent	0.05
FBgn0030327	0.000511907	present	0.05
FBgn0030328	2.48E-05	present	0.05
FBgn0030329	1.77E-08	present	0.05
FBgn0030330	0.002574361	present	0.05
FBgn0030331	0.0676077	absent	0.05
FBgn0030332	0.006717743	present	0.05
FBgn0030334	0.016761698	absent	0.05
FBgn0030336	0.002620494	present	0.05
FBgn0030338	1	absent	0.05
FBgn0030339	0.002785202	present	0.05
FBgn0030340	0.34538122	absent	0.05
FBgn0030341	4.77E-05	present	0.05
FBgn0030342	3.39E-05	present	0.05
FBgn0030343	1.77E-08	present	0.05
FBgn0030344	0.001402964	present	0.05
FBgn0030345	0.001701897	present	0.05
FBgn0030346	3.34E-05	present	0.05
FBgn0030347	0.00040895	present	0.05
FBgn0030348	0.000931105	present	0.05
FBgn0030349	0.002672536	present	0.05
FBgn0030350	1.43E-05	present	0.05
FBgn0030351	0.000438744	present	0.05
FBgn0030352	1.93E-05	present	0.05
FBgn0030354	0.000387878	present	0.05
FBgn0030356	1.77E-08	present	0.05
FBgn0030357	0.001759076	present	0.05
FBgn0030358	0.03340732	absent	0.05
FBgn0030359	1.77E-08	present	0.05
FBgn0030360	0.005324256	present	0.05
FBgn0030361	0.044527692	absent	0.05
FBgn0030362	1.77E-08	present	0.05
FBgn0030364	0.000500591	present	0.05
FBgn0030365	0.001267778	present	0.05
FBgn0030366	5.44E-05	present	0.05
FBgn0030367	0.031050213	absent	0.05
FBgn0030369	0.020869396	absent	0.05
FBgn0030370	4.80E-06	present	0.05
FBgn0030373	0.003477208	present	0.05
FBgn0030374	0.000160808	present	0.05
FBgn0030375	1	absent	0.05
FBgn0030376	0.0002215	present	0.05
FBgn0030377	0.00080228	present	0.05
FBgn0030384	3.89E-06	present	0.05
FBgn0030385	0.210492015	absent	0.05
FBgn0030386	1.77E-08	present	0.05
FBgn0030389	0.017488769	absent	0.05
FBgn0030390	1	absent	0.05
FBgn0030391	0.000743204	present	0.05
FBgn0030394	0.259203351	absent	0.05
FBgn0030395	0.008577631	present	0.05
FBgn0030396	0.000876522	present	0.05
FBgn0030398	1	absent	0.05
FBgn0030400	0.002034787	present	0.05
FBgn0030403	0.000277058	present	0.05
FBgn0030406	0.002911711	present	0.05
FBgn0030407	0.00178095	present	0.05
FBgn0030408	1	absent	0.05
FBgn0030409	0.000193005	present	0.05
FBgn0030410	0.000770313	present	0.05
FBgn0030411	0.007480465	present	0.05
FBgn0030412	0.005620765	present	0.05
FBgn0030417	1	absent	0.05
FBgn0030418	0.001065484	present	0.05
FBgn0030420	0.017547467	absent	0.05
FBgn0030421	0.013209799	absent	0.05
FBgn0030425	0.005580984	present	0.05
FBgn0030429	0.000113753	present	0.05
FBgn0030431	0.000271014	present	0.05
FBgn0030432	0.005021925	present	0.05
FBgn0030433	3.32E-05	present	0.05
FBgn0030434	2.93E-05	present	0.05
FBgn0030435	0.001416886	present	0.05
FBgn0030437	0.039400798	absent	0.05
FBgn0030438	0.051525024	absent	0.05
FBgn0030439	1	absent	0.05
FBgn0030440	1.77E-08	present	0.05
FBgn0030441	2.97E-05	present	0.05
FBgn0030443	0.022281257	absent	0.05
FBgn0030447	0.000837906	present	0.05
FBgn0030449	1.77E-08	present	0.05
FBgn0030451	0.001376582	present	0.05
FBgn0030452	0.001150125	present	0.05
FBgn0030455	1.47E-05	present	0.05
FBgn0030456	0.000920683	present	0.05
FBgn0030457	0.000112061	present	0.05
FBgn0030459	0.266389315	absent	0.05
FBgn0030460	3.73E-05	present	0.05
FBgn0030462	2.86E-05	present	0.05
FBgn0030465	0.000866007	present	0.05
FBgn0030466	0.001734416	present	0.05
FBgn0030467	0.001006785	present	0.05
FBgn0030468	0.00011173	present	0.05
FBgn0030474	0.001183987	present	0.05
FBgn0030477	0.070166416	absent	0.05
FBgn0030478	4.02E-06	present	0.05
FBgn0030479	0.000928099	present	0.05
FBgn0030480	1.77E-08	present	0.05
FBgn0030481	1.77E-08	present	0.05
FBgn0030482	0.002937994	present	0.05
FBgn0030483	0.000374377	present	0.05
FBgn0030484	0.002150188	present	0.05
FBgn0030485	0.000479194	present	0.05
FBgn0030486	0.000830291	present	0.05
FBgn0030492	0.235669591	absent	0.05
FBgn0030493	0.028277016	absent	0.05
FBgn0030494	1	absent	0.05
FBgn0030495	0.014224836	absent	0.05
FBgn0030499	0.004272487	present	0.05
FBgn0030500	0.000476581	present	0.05
FBgn0030501	0.004399423	present	0.05
FBgn0030502	0.000406782	present	0.05
FBgn0030503	1.77E-08	present	0.05
FBgn0030504	0.001690857	present	0.05
FBgn0030505	0.004798298	present	0.05
FBgn0030506	0.000343693	present	0.05
FBgn0030507	0.001412489	present	0.05
FBgn0030508	0.004719166	present	0.05
FBgn0030509	0.034968776	absent	0.05
FBgn0030510	0.000773954	present	0.05
FBgn0030511	0.023863802	absent	0.05
FBgn0030512	0.011242887	present	0.05
FBgn0030514	0.000370912	present	0.05
FBgn0030518	1.00E-05	present	0.05
FBgn0030519	1.77E-08	present	0.05
FBgn0030520	0.000506735	present	0.05
FBgn0030521	1.77E-08	present	0.05
FBgn0030522	0.008747742	present	0.05
FBgn0030524	8.05E-06	present	0.05
FBgn0030525	0.000470168	present	0.05
FBgn0030528	0.009703493	present	0.05
FBgn0030529	7.09E-05	present	0.05
FBgn0030530	0.001198212	present	0.05
FBgn0030536	5.22E-08	present	0.05
FBgn0030537	0.240248488	absent	0.05
FBgn0030538	0.001765963	present	0.05
FBgn0030539	0.000537454	present	0.05
FBgn0030540	0.156471957	absent	0.05
FBgn0030541	0.092957239	absent	0.05
FBgn0030542	1	absent	0.05
FBgn0030543	0.257967661	absent	0.05
FBgn0030544	0.057869461	absent	0.05
FBgn0030545	2.48E-05	present	0.05
FBgn0030551	0.094133527	absent	0.05
FBgn0030552	0.000413394	present	0.05
FBgn0030554	0.001656698	present	0.05
FBgn0030555	0.007217687	present	0.05
FBgn0030556	1.77E-08	present	0.05
FBgn0030558	0.016801901	absent	0.05
FBgn0030559	0.085769544	absent	0.05
FBgn0030562	1	absent	0.05
FBgn0030563	0.000275515	present	0.05
FBgn0030566	0.000304328	present	0.05
FBgn0030569	0.059258719	absent	0.05
FBgn0030570	0.20593611	absent	0.05
FBgn0030571	9.51E-05	present	0.05
FBgn0030572	1.61E-05	present	0.05
FBgn0030573	0.013794835	absent	0.05
FBgn0030574	0.005465377	present	0.05
FBgn0030575	0.001309605	present	0.05
FBgn0030576	0.001941741	present	0.05
FBgn0030577	0.001326301	present	0.05
FBgn0030578	0.000632135	present	0.05
FBgn0030581	0.009430055	present	0.05
FBgn0030582	7.99E-05	present	0.05
FBgn0030583	0.090600794	absent	0.05
FBgn0030584	1.77E-08	present	0.05
FBgn0030586	0.045292443	absent	0.05
FBgn0030587	0.095467891	absent	0.05
FBgn0030588	0.140278105	absent	0.05
FBgn0030589	0.001254776	present	0.05
FBgn0030590	0.077579643	absent	0.05
FBgn0030592	0.064769553	absent	0.05
FBgn0030593	0.000162278	present	0.05
FBgn0030594	0.000151529	present	0.05
FBgn0030595	0.103685213	absent	0.05
FBgn0030596	0.175025824	absent	0.05
FBgn0030597	0.123794312	absent	0.05
FBgn0030598	0.032951003	absent	0.05
FBgn0030599	0.000239649	present	0.05
FBgn0030600	0.025648518	absent	0.05
FBgn0030603	2.68E-05	present	0.05
FBgn0030605	1.77E-08	present	0.05
FBgn0030607	0.000331618	present	0.05
FBgn0030608	0.000304077	present	0.05
FBgn0030610	1.77E-08	present	0.05
FBgn0030611	5.48E-05	present	0.05
FBgn0030612	0.015246179	absent	0.05
FBgn0030613	0.064588393	absent	0.05
FBgn0030614	1.34E-05	present	0.05
FBgn0030615	0.031450732	absent	0.05
FBgn0030616	1.77E-08	present	0.05
FBgn0030617	0.02589771	absent	0.05
FBgn0030620	2.78E-06	present	0.05
FBgn0030622	1.77E-08	present	0.05
FBgn0030623	1.77E-08	present	0.05
FBgn0030624	2.84E-07	present	0.05
FBgn0030625	0.000292533	present	0.05
FBgn0030628	0.001918299	present	0.05
FBgn0030629	1.77E-08	present	0.05
FBgn0030630	0.000354218	present	0.05
FBgn0030631	0.003341625	present	0.05
FBgn0030634	0.032487956	absent	0.05
FBgn0030638	0.006697817	present	0.05
FBgn0030640	0.002583739	present	0.05
FBgn0030641	3.82E-05	present	0.05
FBgn0030642	0.00056754	present	0.05
FBgn0030643	1.77E-08	present	0.05
FBgn0030645	0.000198205	present	0.05
FBgn0030647	0.002467837	present	0.05
FBgn0030648	1.77E-08	present	0.05
FBgn0030653	2.07E-06	present	0.05
FBgn0030654	0.048987953	absent	0.05
FBgn0030655	0.001885063	present	0.05
FBgn0030657	0.002432273	present	0.05
FBgn0030658	9.44E-06	present	0.05
FBgn0030659	0.000259314	present	0.05
FBgn0030660	0.000121529	present	0.05
FBgn0030661	1.77E-08	present	0.05
FBgn0030662	0.010745343	present	0.05
FBgn0030663	0.00052269	present	0.05
FBgn0030664	0.000731129	present	0.05
FBgn0030665	0.02322539	absent	0.05
FBgn0030666	1	absent	0.05
FBgn0030667	0.001420847	present	0.05
FBgn0030668	2.68E-07	present	0.05
FBgn0030669	7.88E-07	present	0.05
FBgn0030670	0.00019586	present	0.05
FBgn0030671	0.000365129	present	0.05
FBgn0030672	1.77E-08	present	0.05
FBgn0030673	0.001266651	present	0.05
FBgn0030674	0.000624683	present	0.05
FBgn0030675	0.007818788	present	0.05
FBgn0030676	0.000395437	present	0.05
FBgn0030678	0.003622439	present	0.05
FBgn0030679	1.77E-08	present	0.05
FBgn0030680	0.008431912	present	0.05
FBgn0030683	0.006582111	present	0.05
FBgn0030684	0.001063163	present	0.05
FBgn0030685	0.001848979	present	0.05
FBgn0030686	0.00068571	present	0.05
FBgn0030687	0.013318031	absent	0.05
FBgn0030688	1.44E-05	present	0.05
FBgn0030691	1.40E-06	present	0.05
FBgn0030692	0.000609236	present	0.05
FBgn0030693	1.77E-08	present	0.05
FBgn0030694	7.86E-05	present	0.05
FBgn0030695	6.90E-05	present	0.05
FBgn0030696	1.77E-08	present	0.05
FBgn0030697	1.77E-08	present	0.05
FBgn0030699	0.001392518	present	0.05
FBgn0030700	0.007610513	present	0.05
FBgn0030701	0.006285534	present	0.05
FBgn0030703	1.77E-08	present	0.05
FBgn0030704	0.000567043	present	0.05
FBgn0030706	0.021774175	absent	0.05
FBgn0030707	0.286489753	absent	0.05
FBgn0030710	0.003830266	present	0.05
FBgn0030711	0.000411263	present	0.05
FBgn0030715	0.139631826	absent	0.05
FBgn0030716	0.007656367	present	0.05
FBgn0030717	0.000413356	present	0.05
FBgn0030718	3.55E-05	present	0.05
FBgn0030719	2.32E-05	present	0.05
FBgn0030720	0.000748543	present	0.05
FBgn0030721	0.000127695	present	0.05
FBgn0030722	1.77E-08	present	0.05
FBgn0030723	0.068140018	absent	0.05
FBgn0030724	0.00203823	present	0.05
FBgn0030725	0.000792259	present	0.05
FBgn0030729	1	absent	0.05
FBgn0030731	3.30E-05	present	0.05
FBgn0030733	1.77E-08	present	0.05
FBgn0030734	0.00010925	present	0.05
FBgn0030735	0.001879267	present	0.05
FBgn0030738	0.000281931	present	0.05
FBgn0030739	0.01943327	absent	0.05
FBgn0030740	0.000280633	present	0.05
FBgn0030742	0.005601716	present	0.05
FBgn0030743	0.000425443	present	0.05
FBgn0030744	1.77E-08	present	0.05
FBgn0030745	0.004624331	present	0.05
FBgn0030746	0.02226683	absent	0.05
FBgn0030747	0.030171756	absent	0.05
FBgn0030748	0.009323432	present	0.05
FBgn0030749	6.37E-05	present	0.05
FBgn0030752	0.000206546	present	0.05
FBgn0030753	1.77E-08	present	0.05
FBgn0030756	0.009416076	present	0.05
FBgn0030757	0.002413422	present	0.05
FBgn0030759	0.003700131	present	0.05
FBgn0030761	0.002909161	present	0.05
FBgn0030763	0.039065201	absent	0.05
FBgn0030764	0.000239686	present	0.05
FBgn0030766	0.003820287	present	0.05
FBgn0030768	3.73E-05	present	0.05
FBgn0030769	8.33E-05	present	0.05
FBgn0030770	3.91E-05	present	0.05
FBgn0030773	0.003860646	present	0.05
FBgn0030774	0.001153172	present	0.05
FBgn0030775	0.000137328	present	0.05
FBgn0030776	0.000605059	present	0.05
FBgn0030777	0.000826528	present	0.05
FBgn0030778	0.115853089	absent	0.05
FBgn0030780	1.77E-08	present	0.05
FBgn0030786	6.56E-05	present	0.05
FBgn0030787	0.001037315	present	0.05
FBgn0030788	0.000795603	present	0.05
FBgn0030789	0.001633864	present	0.05
FBgn0030790	0.001146486	present	0.05
FBgn0030791	0.00092668	present	0.05
FBgn0030792	8.59E-06	present	0.05
FBgn0030793	0.000750067	present	0.05
FBgn0030794	0.01367824	absent	0.05
FBgn0030795	0.041698117	absent	0.05
FBgn0030796	0.00516175	present	0.05
FBgn0030797	1.77E-08	present	0.05
FBgn0030798	0.03014902	absent	0.05
FBgn0030799	0.001478614	present	0.05
FBgn0030800	0.002435927	present	0.05
FBgn0030801	0.011286234	present	0.05
FBgn0030802	2.53E-07	present	0.05
FBgn0030803	2.51E-05	present	0.05
FBgn0030804	1	absent	0.05
FBgn0030805	0.007104683	present	0.05
FBgn0030806	0.000733453	present	0.05
FBgn0030807	1	absent	0.05
FBgn0030808	0.013898552	absent	0.05
FBgn0030809	0.00091093	present	0.05
FBgn0030812	0.000771223	present	0.05
FBgn0030813	0.001994496	present	0.05
FBgn0030814	1.77E-08	present	0.05
FBgn0030815	0.27322713	absent	0.05
FBgn0030816	0.013472684	absent	0.05
FBgn0030817	0.019115281	absent	0.05
FBgn0030823	0.000182844	present	0.05
FBgn0030824	0.215326615	absent	0.05
FBgn0030826	1	absent	0.05
FBgn0030828	1.77E-08	present	0.05
FBgn0030829	1	absent	0.05
FBgn0030830	1	absent	0.05
FBgn0030832	1	absent	0.05
FBgn0030833	0.004578537	present	0.05
FBgn0030834	0.00033615	present	0.05
FBgn0030836	4.61E-05	present	0.05
FBgn0030837	1.90E-05	present	0.05
FBgn0030838	6.19E-07	present	0.05
FBgn0030839	0.000248417	present	0.05
FBgn0030840	0.000183553	present	0.05
FBgn0030841	0.008016043	present	0.05
FBgn0030844	0.176138569	absent	0.05
FBgn0030846	1.77E-08	present	0.05
FBgn0030847	0.001145615	present	0.05
FBgn0030850	0.000767832	present	0.05
FBgn0030851	0.001575182	present	0.05
FBgn0030853	1.77E-08	present	0.05
FBgn0030854	0.001317966	present	0.05
FBgn0030855	0.0002927	present	0.05
FBgn0030858	0.000528876	present	0.05
FBgn0030859	0.003000701	present	0.05
FBgn0030863	6.40E-05	present	0.05
FBgn0030864	2.34E-05	present	0.05
FBgn0030868	1	absent	0.05
FBgn0030869	0.003013319	present	0.05
FBgn0030870	0.000812818	present	0.05
FBgn0030871	0.002935934	present	0.05
FBgn0030872	0.002722708	present	0.05
FBgn0030873	1.88E-05	present	0.05
FBgn0030874	0.00234427	present	0.05
FBgn0030876	0.000773938	present	0.05
FBgn0030877	0.001036558	present	0.05
FBgn0030878	0.000214164	present	0.05
FBgn0030880	0.024845562	absent	0.05
FBgn0030881	7.42E-05	present	0.05
FBgn0030882	2.18E-05	present	0.05
FBgn0030883	1.77E-08	present	0.05
FBgn0030884	0.002042222	present	0.05
FBgn0030886	0.036478412	absent	0.05
FBgn0030887	0.004618233	present	0.05
FBgn0030889	0.005889681	present	0.05
FBgn0030890	0.007647484	present	0.05
FBgn0030891	0.010185095	present	0.05
FBgn0030892	2.83E-05	present	0.05
FBgn0030893	0.002168328	present	0.05
FBgn0030894	6.44E-05	present	0.05
FBgn0030895	0.021784926	absent	0.05
FBgn0030897	0.060521232	absent	0.05
FBgn0030898	0.000212771	present	0.05
FBgn0030899	0.027139194	absent	0.05
FBgn0030900	0.00956781	present	0.05
FBgn0030904	0.238868007	absent	0.05
FBgn0030905	1.77E-08	present	0.05
FBgn0030911	0.002423411	present	0.05
FBgn0030912	0.017862833	absent	0.05
FBgn0030913	0.188309396	absent	0.05
FBgn0030914	0.11294401	absent	0.05
FBgn0030915	8.05E-05	present	0.05
FBgn0030918	0.00160318	present	0.05
FBgn0030921	0.001450813	present	0.05
FBgn0030925	0.006528162	present	0.05
FBgn0030926	0.108559853	absent	0.05
FBgn0030927	0.089661218	absent	0.05
FBgn0030928	0.031050537	absent	0.05
FBgn0030929	0.00020633	present	0.05
FBgn0030930	0.000115584	present	0.05
FBgn0030931	0.161201257	absent	0.05
FBgn0030932	5.82E-05	present	0.05
FBgn0030933	1.77E-08	present	0.05
FBgn0030936	1.77E-08	present	0.05
FBgn0030937	0.006133083	present	0.05
FBgn0030938	0.023112347	absent	0.05
FBgn0030940	5.08E-05	present	0.05
FBgn0030941	0.003532293	present	0.05
FBgn0030943	6.66E-05	present	0.05
FBgn0030944	0.000289203	present	0.05
FBgn0030945	2.14E-05	present	0.05
FBgn0030946	0.000693656	present	0.05
FBgn0030947	1	absent	0.05
FBgn0030949	0.01099736	present	0.05
FBgn0030951	1.77E-08	present	0.05
FBgn0030952	0.000183553	present	0.05
FBgn0030954	0.013830242	absent	0.05
FBgn0030955	1.77E-08	present	0.05
FBgn0030956	0.000254589	present	0.05
FBgn0030958	0.00265323	present	0.05
FBgn0030959	6.96E-05	present	0.05
FBgn0030960	0.00702204	present	0.05
FBgn0030961	0.062419564	absent	0.05
FBgn0030963	0.001773171	present	0.05
FBgn0030964	0.000819257	present	0.05
FBgn0030966	0.003135791	present	0.05
FBgn0030968	0.000872114	present	0.05
FBgn0030969	0.000698864	present	0.05
FBgn0030970	0.008443601	present	0.05
FBgn0030973	0.000116818	present	0.05
FBgn0030974	0.002323024	present	0.05
FBgn0030975	1.77E-08	present	0.05
FBgn0030976	0.002506116	present	0.05
FBgn0030979	0.00139512	present	0.05
FBgn0030980	0.217975212	absent	0.05
FBgn0030981	0.008078588	present	0.05
FBgn0030982	1.77E-08	present	0.05
FBgn0030983	0.002111704	present	0.05
FBgn0030984	0.007549462	present	0.05
FBgn0030985	0.034476386	absent	0.05
FBgn0030989	1.77E-08	present	0.05
FBgn0030990	1.77E-08	present	0.05
FBgn0030991	2.56E-05	present	0.05
FBgn0030992	0.04345113	absent	0.05
FBgn0030993	0.00060364	present	0.05
FBgn0030994	0.007997879	present	0.05
FBgn0030995	0.000871614	present	0.05
FBgn0030996	1.77E-08	present	0.05
FBgn0030997	0.000415019	present	0.05
FBgn0030998	0.005773398	present	0.05
FBgn0030999	1.77E-08	present	0.05
FBgn0031000	0.013791025	absent	0.05
FBgn0031001	0.018275183	absent	0.05
FBgn0031002	0.004770214	present	0.05
FBgn0031003	0.001500709	present	0.05
FBgn0031004	0.002489587	present	0.05
FBgn0031005	0.06568154	absent	0.05
FBgn0031006	0.001175817	present	0.05
FBgn0031008	3.50E-05	present	0.05
FBgn0031010	0.001387212	present	0.05
FBgn0031011	0.002653517	present	0.05
FBgn0031012	0.00139379	present	0.05
FBgn0031016	0.004699475	present	0.05
FBgn0031018	0.041437576	absent	0.05
FBgn0031020	1.77E-08	present	0.05
FBgn0031021	2.58E-06	present	0.05
FBgn0031022	0.00120238	present	0.05
FBgn0031023	0.00108836	present	0.05
FBgn0031026	0.000248516	present	0.05
FBgn0031030	0.002584617	present	0.05
FBgn0031031	1	absent	0.05
FBgn0031032	0.132157269	absent	0.05
FBgn0031033	0.034782777	absent	0.05
FBgn0031034	0.012208256	present	0.05
FBgn0031036	0.00033068	present	0.05
FBgn0031037	1.77E-08	present	0.05
FBgn0031038	0.00055169	present	0.05
FBgn0031039	0.000184685	present	0.05
FBgn0031040	4.77E-05	present	0.05
FBgn0031041	1.52E-06	present	0.05
FBgn0031042	0.119700425	absent	0.05
FBgn0031043	0.001292864	present	0.05
FBgn0031044	0.002941716	present	0.05
FBgn0031045	1.77E-08	present	0.05
FBgn0031047	3.47E-06	present	0.05
FBgn0031048	0.000254119	present	0.05
FBgn0031049	1.77E-08	present	0.05
FBgn0031050	0.000119244	present	0.05
FBgn0031051	0.000100628	present	0.05
FBgn0031052	8.22E-05	present	0.05
FBgn0031053	0.003527245	present	0.05
FBgn0031054	0.000104755	present	0.05
FBgn0031055	0.013936998	absent	0.05
FBgn0031057	0.000121518	present	0.05
FBgn0031058	0.01057345	present	0.05
FBgn0031059	5.22E-08	present	0.05
FBgn0031060	0.001803951	present	0.05
FBgn0031061	1.77E-08	present	0.05
FBgn0031062	0.001610893	present	0.05
FBgn0031064	0.115882895	absent	0.05
FBgn0031065	0.020120029	absent	0.05
FBgn0031066	1.77E-08	present	0.05
FBgn0031068	1.77E-08	present	0.05
FBgn0031069	0.000459016	present	0.05
FBgn0031070	0.000203757	present	0.05
FBgn0031074	0.000118451	present	0.05
FBgn0031077	0.009837665	present	0.05
FBgn0031078	0.000785609	present	0.05
FBgn0031080	0.001124925	present	0.05
FBgn0031081	0.009214087	present	0.05
FBgn0031082	1.77E-08	present	0.05
FBgn0031085	1.77E-08	present	0.05
FBgn0031086	0.128150008	absent	0.05
FBgn0031088	0.339268315	absent	0.05
FBgn0031089	0.021060443	absent	0.05
FBgn0031090	3.38E-05	present	0.05
FBgn0031091	0.000106247	present	0.05
FBgn0031092	0.000809876	present	0.05
FBgn0031093	1.77E-08	present	0.05
FBgn0031094	1.77E-08	present	0.05
FBgn0031097	0.021736969	absent	0.05
FBgn0031098	0.022052776	absent	0.05
FBgn0031099	1.60E-05	present	0.05
FBgn0031100	0.056558673	absent	0.05
FBgn0031101	1.04E-06	present	0.05
FBgn0031103	1.77E-08	present	0.05
FBgn0031104	0.0003287	present	0.05
FBgn0031106	2.53E-06	present	0.05
FBgn0031107	0.000554661	present	0.05
FBgn0031108	1.77E-08	present	0.05
FBgn0031109	1	absent	0.05
FBgn0031110	0.044317611	absent	0.05
FBgn0031111	0.129839576	absent	0.05
FBgn0031114	0.00191257	present	0.05
FBgn0031115	0.000150069	present	0.05
FBgn0031116	0.139332653	absent	0.05
FBgn0031117	0.005019031	present	0.05
FBgn0031118	0.007348806	present	0.05
FBgn0031119	0.000196903	present	0.05
