id	minimum_qValue	call	cutoff
FBgn0000499	1.77E-08	present	0.05
FBgn0000500	0.03702071	absent	0.05
FBgn0000504	0.01096956	present	0.05
FBgn0000520	0.002161805	present	0.05
FBgn0000524	0.003673786	present	0.05
FBgn0000527	0.004706552	present	0.05
FBgn0000529	0.09680451	absent	0.05
FBgn0000533	0.003583971	present	0.05
FBgn0000535	0.118314339	absent	0.05
FBgn0000536	0.000185563	present	0.05
FBgn0000541	0.00141497	present	0.05
FBgn0000542	0.009521676	present	0.05
FBgn0000543	7.71E-05	present	0.05
FBgn0000546	0.011150604	present	0.05
FBgn0000547	0.009726576	present	0.05
FBgn0000551	0.047386542	absent	0.05
FBgn0000552	1	absent	0.05
FBgn0000557	0.001877658	present	0.05
FBgn0000559	1.77E-08	present	0.05
FBgn0000560	0.005622198	present	0.05
FBgn0000562	0.00392262	present	0.05
FBgn0000564	1	absent	0.05
FBgn0000565	0.000150083	present	0.05
FBgn0000566	0.000323194	present	0.05
FBgn0000567	0.010196586	present	0.05
FBgn0000568	0.006577715	present	0.05
FBgn0000575	0.00515722	present	0.05
FBgn0000576	0.051229097	absent	0.05
FBgn0000577	0.008579325	present	0.05
FBgn0000578	0.00266869	present	0.05
FBgn0000579	1.77E-08	present	0.05
FBgn0000581	0.000502666	present	0.05
FBgn0000588	0.003247218	present	0.05
FBgn0000591	0.206139784	absent	0.05
FBgn0000592	1.77E-08	present	0.05
FBgn0000594	0.054107474	absent	0.05
FBgn0000606	0.018104934	absent	0.05
FBgn0000611	0.003193867	present	0.05
FBgn0000615	1.77E-08	present	0.05
FBgn0000617	0.000706822	present	0.05
FBgn0000618	2.48E-06	present	0.05
FBgn0000625	0.091406597	absent	0.05
FBgn0000629	0.002084585	present	0.05
FBgn0000633	0.044790768	absent	0.05
FBgn0000635	0.002014218	present	0.05
FBgn0000636	0.000243225	present	0.05
FBgn0000639	0.001832932	present	0.05
FBgn0000640	0.003349523	present	0.05
FBgn0000644	0.02692441	absent	0.05
FBgn0000658	0.052483902	absent	0.05
FBgn0000659	0.009978892	present	0.05
FBgn0000662	0.001196016	present	0.05
FBgn0000667	0.000552183	present	0.05
FBgn0000709	0.006171573	present	0.05
FBgn0000711	0.004905078	present	0.05
FBgn0000715	0.09406416	absent	0.05
FBgn0000719	0.019247897	absent	0.05
FBgn0000721	0.001636336	present	0.05
FBgn0000723	0.001896599	present	0.05
FBgn0000808	0.084212708	absent	0.05
FBgn0000810	0.001562348	present	0.05
FBgn0000826	0.002287359	present	0.05
FBgn0000927	0.030676249	absent	0.05
FBgn0000928	0.002963049	present	0.05
FBgn0000964	0.006344089	present	0.05
FBgn0000996	0.002450682	present	0.05
FBgn0001075	0.053137886	absent	0.05
FBgn0001077	0.006018968	present	0.05
FBgn0001078	0.012510486	present	0.05
FBgn0001079	0.010548031	present	0.05
FBgn0001083	0.034076452	absent	0.05
FBgn0001084	0.01351165	absent	0.05
FBgn0001085	0.020395586	absent	0.05
FBgn0001086	4.81E-05	present	0.05
FBgn0001087	0.00099889	present	0.05
FBgn0001089	4.43E-05	present	0.05
FBgn0001090	3.58E-05	present	0.05
FBgn0001091	1.77E-08	present	0.05
FBgn0001092	1.77E-08	present	0.05
FBgn0001098	1.77E-08	present	0.05
FBgn0001099	1.77E-08	present	0.05
FBgn0001104	0.000800074	present	0.05
FBgn0001105	1.71E-05	present	0.05
FBgn0001108	0.00010719	present	0.05
FBgn0001112	0.001063983	present	0.05
FBgn0001114	0.000456472	present	0.05
FBgn0001120	0.008411232	present	0.05
FBgn0001122	0.001546008	present	0.05
FBgn0001123	0.000603219	present	0.05
FBgn0001124	1.77E-08	present	0.05
FBgn0001125	1.77E-08	present	0.05
FBgn0001128	7.60E-05	present	0.05
FBgn0001133	6.85E-06	present	0.05
FBgn0001134	0.031398404	absent	0.05
FBgn0001137	0.007319907	present	0.05
FBgn0001138	0.162889255	absent	0.05
FBgn0001139	0.000769352	present	0.05
FBgn0001142	0.000257912	present	0.05
FBgn0001145	0.000168329	present	0.05
FBgn0001147	0.060842504	absent	0.05
FBgn0001148	0.063225611	absent	0.05
FBgn0001149	1.77E-08	present	0.05
FBgn0001150	1	absent	0.05
FBgn0001168	0.001790585	present	0.05
FBgn0001169	0.001357071	present	0.05
FBgn0001170	0.064369807	absent	0.05
FBgn0001174	0.102759578	absent	0.05
FBgn0001179	0.001018934	present	0.05
FBgn0001180	0.022465032	absent	0.05
FBgn0001185	0.00904743	present	0.05
FBgn0001186	0.000311042	present	0.05
FBgn0001187	0.000336183	present	0.05
FBgn0001189	0.001160188	present	0.05
FBgn0001197	7.14E-06	present	0.05
FBgn0001202	0.000154348	present	0.05
FBgn0001206	0.004451373	present	0.05
FBgn0001208	0.009525336	present	0.05
FBgn0001215	1.77E-08	present	0.05
FBgn0001216	1.77E-08	present	0.05
FBgn0001217	1.77E-08	present	0.05
FBgn0001218	1.77E-08	present	0.05
FBgn0001220	1.77E-08	present	0.05
FBgn0001222	0.000188307	present	0.05
FBgn0001223	0.002522348	present	0.05
FBgn0001224	1.77E-08	present	0.05
FBgn0001225	1.77E-08	present	0.05
FBgn0001226	1.77E-08	present	0.05
FBgn0001227	0.000316373	present	0.05
FBgn0001228	1.77E-08	present	0.05
FBgn0001229	0.016336299	absent	0.05
FBgn0001230	1.77E-08	present	0.05
FBgn0001233	1.77E-08	present	0.05
FBgn0001234	0.005955603	present	0.05
FBgn0001235	0.016610901	absent	0.05
FBgn0001247	0.000446913	present	0.05
FBgn0001248	1.77E-08	present	0.05
FBgn0001250	0.008691297	present	0.05
FBgn0001253	0.091067722	absent	0.05
FBgn0001254	0.066877369	absent	0.05
FBgn0001255	0.010089894	present	0.05
FBgn0001256	0.043700551	absent	0.05
FBgn0001257	0.002181839	present	0.05
FBgn0001258	8.41E-06	present	0.05
FBgn0001259	0.027407615	absent	0.05
FBgn0001263	0.030069558	absent	0.05
FBgn0001269	0.004625982	present	0.05
FBgn0001276	0.008851933	present	0.05
FBgn0001280	1.77E-08	present	0.05
FBgn0001281	1.77E-08	present	0.05
FBgn0001285	0.000299879	present	0.05
FBgn0001291	1.36E-05	present	0.05
FBgn0001296	0.004621718	present	0.05
FBgn0001297	0.001509939	present	0.05
FBgn0001301	0.000530156	present	0.05
FBgn0001308	0.000141278	present	0.05
FBgn0001311	0.008398642	present	0.05
FBgn0001313	0.007558632	present	0.05
FBgn0001316	0.001084705	present	0.05
FBgn0001319	0.246919135	absent	0.05
FBgn0001320	0.016587395	absent	0.05
FBgn0001321	0.019979403	absent	0.05
FBgn0001323	0.024902742	absent	0.05
FBgn0001324	0.000137764	present	0.05
FBgn0001325	0.034376378	absent	0.05
FBgn0001330	0.008924053	present	0.05
FBgn0001341	0.002828905	present	0.05
FBgn0001404	0.000603243	present	0.05
FBgn0001491	9.76E-07	present	0.05
FBgn0001565	0.000394545	present	0.05
FBgn0001612	0.004966743	present	0.05
FBgn0001624	0.00375979	present	0.05
FBgn0001941	0.000101963	present	0.05
FBgn0001942	1.77E-08	present	0.05
FBgn0001961	1.77E-08	present	0.05
FBgn0001965	0.002133902	present	0.05
FBgn0001967	0.001467071	present	0.05
FBgn0001970	0.001767987	present	0.05
FBgn0001977	1.59E-06	present	0.05
FBgn0001978	3.05E-05	present	0.05
FBgn0001981	0.005091382	present	0.05
FBgn0001983	0.129521743	absent	0.05
FBgn0001986	0.000857748	present	0.05
FBgn0001987	0.003644259	present	0.05
FBgn0001989	8.78E-06	present	0.05
FBgn0001990	0.001006229	present	0.05
FBgn0001991	0.003970457	present	0.05
FBgn0001992	0.031674031	absent	0.05
FBgn0001994	0.003187434	present	0.05
FBgn0001995	6.90E-05	present	0.05
FBgn0002021	1.46E-05	present	0.05
FBgn0002022	2.19E-06	present	0.05
FBgn0002023	0.001393761	present	0.05
FBgn0002031	1.69E-06	present	0.05
FBgn0002036	1.77E-08	present	0.05
FBgn0002044	0.000222354	present	0.05
FBgn0002069	0.000290204	present	0.05
FBgn0002121	0.003922917	present	0.05
FBgn0002174	1.77E-08	present	0.05
FBgn0002183	0.000188299	present	0.05
FBgn0002283	8.06E-05	present	0.05
FBgn0002284	1.77E-08	present	0.05
FBgn0002306	0.003891023	present	0.05
FBgn0002354	1.53E-05	present	0.05
FBgn0002413	3.35E-06	present	0.05
FBgn0002431	0.001088715	present	0.05
FBgn0002440	0.061787858	absent	0.05
FBgn0002441	0.001161644	present	0.05
FBgn0002466	0.003256822	present	0.05
FBgn0002521	0.000609805	present	0.05
FBgn0002522	0.005215694	present	0.05
FBgn0002524	0.000848377	present	0.05
FBgn0002525	1.77E-08	present	0.05
FBgn0002526	0.010027951	present	0.05
FBgn0002531	1	absent	0.05
FBgn0002533	0.017883416	absent	0.05
FBgn0002534	0.034127713	absent	0.05
FBgn0002535	0.004712887	present	0.05
FBgn0002542	0.000207189	present	0.05
FBgn0002543	0.060249864	absent	0.05
FBgn0002552	0.000923097	present	0.05
FBgn0002561	1	absent	0.05
FBgn0002562	0.00573086	present	0.05
FBgn0002563	0.00251528	present	0.05
FBgn0002564	0.036712885	absent	0.05
FBgn0002565	0.000490332	present	0.05
FBgn0002566	0.001375602	present	0.05
FBgn0002567	0.000942287	present	0.05
FBgn0002569	0.000394744	present	0.05
FBgn0002570	1.77E-08	present	0.05
FBgn0002571	0.000118653	present	0.05
FBgn0002573	0.004148561	present	0.05
FBgn0002576	0.030213244	absent	0.05
FBgn0002577	0.044222114	absent	0.05
